ticker,MJLB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-18,-89.3333
2002-08-29,-99.6875
2002-09-03,279900.0
2003-02-10,-71.4286
2003-02-11,0.0
2003-02-12,-50.0
2003-03-17,300.0
2003-03-19,50.0
2003-05-12,-83.3333
2003-05-21,-20.0
2003-05-30,525.0
2003-07-14,-40.0
2003-07-22,-3.3333
2003-07-23,3.4483
2003-07-24,-33.3333
2003-08-08,0.0
2003-09-09,-70.0
2003-09-29,400.0
2003-10-17,-20.0
2003-10-22,-58.3333
2003-11-04,0.0
2003-11-05,100.0
2003-12-08,50.0
2003-12-09,96.6667
2003-12-12,18.6441
2003-12-15,17.1429
2003-12-16,24.3902
2003-12-22,7.8431
2003-12-30,-54.5455
2003-12-31,80.0
2004-01-15,11.1111
2004-01-16,40.0
2004-01-21,-36.4286
2004-01-22,1.1236
2004-01-26,0.0
2004-01-29,0.0
2004-01-30,-1.1111
2004-02-02,7.8652
2004-02-03,6.25
2004-02-04,9.8039
2004-02-09,-1.7856999999999998
2004-02-11,-7.2727
2004-02-13,7.8431
2004-02-17,0.0
2004-02-18,-1.8182
2004-02-19,-6.4815
2004-02-20,-0.9901
2004-02-26,0.0
2004-02-27,-6.0
2004-03-03,27.6596
2004-03-04,0.0
2004-03-05,-8.3333
2004-03-08,0.0
2004-03-09,0.0
2004-03-18,-1.8182
2004-03-19,-1.8519
2004-03-23,0.0
2004-03-31,0.0
2004-04-02,-5.6604
2004-04-08,5.0
2004-04-12,-14.2857
2004-04-20,13.3333
2004-04-21,-3.9215999999999998
2004-04-26,6.1224
2004-04-27,-13.461500000000001
2004-04-28,-6.6667
2004-04-30,9.5238
2004-05-03,0.0
2004-05-05,-13.0435
2004-05-06,13.75
2004-05-07,-12.0879
2004-05-10,15.0
2004-05-13,-13.0435
2004-05-17,5.0
2004-05-24,-4.7619
2004-06-01,-0.75
2004-06-09,-8.0605
2004-06-14,-4.1096
2004-06-15,0.0
2004-06-16,-0.5714
2004-06-17,2.0115
2004-06-18,21.1268
2004-06-24,-16.2791
2004-06-25,-2.7778
2004-06-29,-14.2857
2004-06-30,-10.0
2004-07-01,22.2222
2004-07-13,-23.9394
2004-07-14,-12.3506
2004-07-16,-9.0909
2004-07-19,0.0
2004-07-28,6.0
2004-08-05,-5.6604
2004-08-06,35.0
2004-08-09,-12.037
2004-08-12,-32.6316
2004-08-13,66.6667
2004-08-17,-2.5
2004-08-18,0.0
2004-08-19,2.5641
2004-08-20,0.0
