ticker,MCTYF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-12-06,0.0
2005-12-15,-31.4815
2005-12-21,2.7027
2005-12-29,31.5789
2006-01-10,0.0
2006-01-11,-20.0
2006-01-24,68.75
2006-01-25,0.0
2006-01-27,57.4815
2006-02-02,-21.9191
2006-02-06,-3.012
2006-02-09,-1.8634
2006-02-10,-1.8987
2006-02-15,-7.7419
2006-02-17,-9.3706
2006-02-27,-5.8642
2006-02-28,-8.1967
2006-03-21,33.9286
2006-03-23,-20.0
2006-03-27,18.3333
2006-04-06,-6.338
2006-04-07,-9.7744
2006-04-10,-27.5
2006-04-21,24.1379
2006-04-26,-16.8519
2006-05-02,12.4722
2006-05-09,-5.9406
2006-05-10,-6.3158
2006-05-11,1.1236
2006-05-12,-3.3333
2006-05-16,-5.7471
2006-05-23,0.0
2006-06-05,-9.7561
2006-06-12,-4.0541
2006-06-13,-5.6338
2006-06-26,-4.4776
2006-06-27,3.125
2006-06-29,3.0303
2006-06-30,0.0
2006-07-07,-22.0588
2006-07-11,1.8868
2006-07-13,-7.4074
2006-07-27,-8.0
2006-08-11,15.2174
2006-11-03,-7.9953
2006-11-06,-11.8175
2007-01-05,25.2616
2007-01-08,13.2513
2007-01-16,-14.7541
2007-01-26,14.6154
2007-02-06,44.2953
2007-02-07,-0.6686
2007-02-26,-3.9362
2007-02-28,-15.475999999999999
2007-03-30,-13.4979
2007-04-05,-7.6667
2007-04-11,8.3709
2007-04-12,0.6038
2007-04-13,27.5455
2007-04-16,2.2554
2007-04-30,2.8245
2007-05-22,-9.9228
2007-05-24,-5.1568
2007-06-20,15.4263
2007-07-23,4.1315
2007-08-07,33.5738
2007-08-08,-1.1701
2007-08-13,-3.8251
2007-08-21,-2.7699
2007-08-27,-23.253
2007-08-28,7.868
2007-08-30,0.0
2007-09-07,0.0
2007-09-10,8.2059
2007-09-21,16.1185
2007-09-24,8.6142
2007-09-25,4.1918
2007-09-26,5.4918
2007-10-05,-8.8627
2007-10-10,-2.7539
2007-10-15,17.6991
2007-10-16,-2.7068
2007-10-18,24.4204
2007-10-19,-0.2484
2007-10-22,-7.8456
2007-10-25,6.8919
2007-10-26,12.8793
2007-10-29,6.9579
2007-10-30,7.8534
2007-11-02,-12.8155
2007-11-07,-2.5195
2007-11-13,4.6052
2007-11-14,-0.6962
2007-11-15,5.8148
2007-11-16,-0.6561
2007-11-19,-2.6677
2007-11-20,-8.8943
2007-11-21,-0.5014
2007-11-23,-7.9887
