ticker,BILSU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-21,0.0
2000-01-25,0.0
2000-01-28,8.3333
2000-03-09,20.0
2000-03-24,-23.0769
2000-03-28,0.0
2000-04-04,4.1667
2000-05-05,-4.0
2000-05-16,0.0
2000-05-22,0.0
2000-06-16,100.0
2000-06-19,0.0
2000-06-20,-33.3333
2000-06-29,0.0
2000-07-21,0.0
2000-07-28,0.0
2000-08-02,0.0
2000-08-03,6.25
2000-08-04,11.7647
2000-08-07,2.3158
2000-08-08,2.8807
2000-09-11,20.0
2000-09-21,-20.0
2000-09-28,0.0
2000-11-17,0.0
2000-11-27,4.1667
2000-11-29,20.0
2000-12-07,-12.5
2000-12-11,14.2857
2000-12-13,-16.6667
2001-01-09,60.0
2001-01-10,0.0
2001-01-23,-37.5
2001-02-28,6.0
2001-03-14,0.0
2001-03-23,1.8868
2001-04-09,11.1111
2001-04-20,-16.6667
2001-05-01,20.0
2001-05-08,-13.3333
2001-05-09,9.6154
2001-05-11,5.2632
2001-05-18,84.0
2001-05-25,-27.5362
2001-06-20,-26.25
2001-06-21,103.3898
2001-06-26,-41.6667
2001-06-27,14.2857
2001-07-25,2.5
2001-08-09,-2.439
2001-08-23,27.5
2001-11-06,-26.4706
2001-11-07,2.6667
2001-11-09,0.0
2002-01-03,-1.2987
2002-01-04,11.8421
2002-02-20,-28.2353
2002-02-26,-22.9508
2002-03-01,42.5532
2002-03-25,-10.4478
2002-04-24,-16.6667
2002-05-14,42.0
2002-05-20,-5.6338
2002-05-21,4.4776
2002-05-22,-25.7143
2002-05-23,-3.8462
2002-06-07,-6.0
2002-06-18,0.0
2002-06-24,0.0
2002-07-03,0.0
2002-07-08,-12.766
2002-07-11,7.3171
2002-07-12,13.6364
2002-07-16,-16.0
2002-07-17,0.0
2002-09-10,-2.3810000000000002
2002-09-16,0.4878
2002-09-25,-0.4854
2002-09-30,3.4146
2002-10-30,0.0
2002-11-11,0.0
2002-11-25,-2.8302
2002-12-06,-0.4854
2002-12-13,3.4146
2002-12-16,-8.0189
2002-12-26,0.0
2002-12-31,0.0
2003-01-02,0.5128
2003-01-08,-8.1633
2003-02-18,0.0
2003-03-31,0.0
2003-04-02,-13.8889
2003-05-12,0.6452
2003-05-22,-0.641
2003-06-02,-3.2258
2003-06-09,33.3333
2003-06-16,5.0
2003-06-24,19.0476
2003-06-26,-16.0
2003-07-03,2.3810000000000002
2003-07-08,13.9535
2003-07-09,-6.1224
2003-07-10,-4.3478
