ticker,MGTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,0.0
2000-01-07,0.0
2000-01-11,0.0
2000-01-12,0.0
2000-01-13,100.0
2000-01-14,0.0
2000-01-19,-50.0
2000-01-31,200.0
2000-02-03,0.0
2000-02-17,8.3333
2000-02-25,7.6923
2000-02-28,-71.4286
2000-02-29,250.0
2000-03-03,-71.4286
2000-03-06,175.0
2000-03-07,27.2727
2000-03-09,-7.1429
2000-03-22,0.0
2000-03-23,7.6923
2000-03-29,0.0
2000-03-30,-14.2857
2000-03-31,33.3333
2000-04-05,-50.0
2000-04-07,50.0
2000-04-12,-66.6667
2000-04-13,200.0
2000-04-26,-66.6667
2000-04-28,150.0
2000-05-01,20.0
2000-05-03,0.0
2000-05-09,-66.6667
2000-05-30,0.0
2000-06-06,0.0
2000-06-30,25.0
2000-07-25,-20.0
2000-08-08,-25.0
2000-08-21,60.0
2000-08-28,25.0
2000-09-08,6.6667
2000-09-11,25.0
2000-09-12,-50.0
2000-09-15,0.0
2000-09-20,50.0
2000-09-26,-16.6667
2000-10-12,0.0
2000-10-17,-20.0
2000-10-18,25.0
2000-10-24,-40.0
2000-10-25,66.6667
2000-10-27,0.0
2000-11-06,-36.0
2000-11-10,0.0
2000-11-13,0.0
2000-11-17,30.0
2000-11-20,19.2308
2000-11-21,-29.0323
2000-11-27,-9.0909
2000-12-13,0.0
2000-12-18,-20.0
2000-12-26,-12.5
2000-12-28,0.0
2001-01-10,78.5714
2001-02-02,-44.0
2001-02-27,28.5714
2001-03-05,0.0
2001-03-12,-22.2222
2001-03-13,0.0
2001-03-19,28.5714
2001-03-29,22.2222
2001-03-30,0.0
2001-04-18,-9.0909
2001-05-14,20.0
2001-05-23,-25.0
2001-05-24,22.2222
2001-05-29,0.0
2001-06-25,0.0
2001-06-27,-27.2727
2001-06-29,0.0
2001-07-16,0.0
2001-07-23,0.0
2001-07-24,12.5
2001-08-30,-55.5556
2001-09-04,125.0
2001-09-27,-55.5556
2001-10-02,0.0
2001-10-11,12.5
2001-10-15,0.0
2001-10-17,33.3333
2001-10-26,-16.6667
2001-11-05,0.0
2001-11-12,0.0
2001-11-26,50.0
2001-11-27,0.0
2001-12-17,-6.6667
2001-12-28,0.0
2001-12-31,0.0
2002-02-06,0.0
2002-02-27,0.0
2002-02-28,0.0
2002-03-07,-28.5714
2002-03-22,100.0
2002-03-27,40.0
2002-03-28,-28.5714
2002-04-02,30.0
2002-04-04,-11.538499999999999
2002-04-05,30.4348
