ticker,IWSH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-11-26,85.0
2004-11-29,-2.7027
2004-11-30,-4.4444
2004-12-01,19.186
2004-12-02,17.0732
2004-12-03,-4.1667
2004-12-06,-13.0435
2004-12-07,7.5
2004-12-08,6.9767
2004-12-09,2.1739
2004-12-10,2.1277
2004-12-13,-2.0833
2004-12-14,2.1277
2004-12-15,0.0
2004-12-16,-2.0833
2004-12-17,0.0
2004-12-20,-2.1277
2004-12-21,2.1739
2004-12-22,0.0
2004-12-23,0.0
2004-12-27,0.0
2004-12-28,-0.4255
2004-12-29,-1.7094
2004-12-30,-0.8696
2004-12-31,0.8772
2005-01-03,-8.6957
2005-01-04,0.0
2005-01-05,-2.3810000000000002
2005-01-06,6.8293
2005-01-07,-1.8265
2005-01-10,0.0
2005-01-11,-2.3256
2005-01-12,2.3810000000000002
2005-01-13,1.8605
2005-01-14,0.0
2005-01-18,0.4566
2005-01-19,0.0
2005-01-20,4.5455
2005-01-21,4.3478
2005-01-24,0.0
2005-01-25,2.0833
2005-01-26,-2.0408
2005-01-27,-3.3333
2005-01-28,2.5862
2005-01-31,0.0
2005-02-01,-4.6218
2005-02-02,4.8458
2005-02-03,-3.3613
2005-02-04,4.3478
2005-02-07,-1.25
2005-02-08,0.0
2005-02-09,-2.9536
2005-02-10,3.0435
2005-02-11,-0.8439
2005-02-14,1.2766
2005-02-15,-0.8403
2005-02-16,1.6949
2005-02-17,0.0
2005-02-18,0.0
2005-02-22,-0.4167
2005-02-23,0.4184
2005-02-24,2.0833
2005-02-25,10.2041
2005-02-28,-3.7037
2005-03-01,0.0
2005-03-02,0.0
2005-03-03,-6.9231
2005-03-04,1.2397
2005-03-07,-0.4082
2005-03-08,-1.6393
2005-03-09,-2.0833
2005-03-10,5.9574
2005-03-11,0.4016
2005-03-14,20.0
2005-03-15,-8.0
2005-03-16,5.0725
2005-03-17,-1.7241
2005-03-18,1.7544
2005-03-21,-3.4483
2005-03-22,0.0
2005-03-23,0.0
2005-03-24,-0.2143
2005-03-28,-0.859
2005-03-29,-0.722
2005-03-30,0.0
2005-03-31,3.6364
2005-04-01,0.0
2005-04-04,-1.7544
2005-04-05,0.0
2005-04-06,0.0
2005-04-07,0.0
2005-04-08,0.0
2005-04-11,1.0714
2005-04-12,-1.0601
2005-04-13,3.5714
2005-04-14,6.2069
2005-04-15,0.6494
2005-04-18,0.0
2005-04-19,-3.2258
2005-04-20,0.0
2005-04-21,0.0
2005-04-22,0.0
