ticker,ICTV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-09-06,1.3889
2002-09-09,-4.1096
2002-09-10,1.4285999999999999
2002-09-11,0.0
2002-09-13,-2.8169
2002-09-16,-13.0435
2002-09-17,0.0
2002-09-18,-3.3333
2002-09-19,0.0
2002-09-20,8.6207
2002-09-24,-6.3492
2002-09-30,-35.5932
2002-10-01,-7.8947
2002-10-03,-5.7143
2002-10-04,-3.0303
2002-10-07,0.0
2002-10-08,6.25
2002-10-09,2.9412000000000003
2002-10-10,14.2857
2002-10-11,-5.0
2002-10-14,-15.7895
2002-10-16,-25.0
2002-10-17,66.6667
2002-10-18,10.0
2002-10-21,-2.2727
2002-10-22,9.3023
2002-10-23,6.383
2002-10-24,-8.0
2002-10-25,2.1739
2002-10-28,-21.2766
2002-10-29,27.027
2002-10-30,-4.2553
2002-10-31,4.4444
2002-11-01,-4.2553
2002-11-05,0.0
2002-11-06,31.1111
2002-11-07,8.4746
2002-11-08,1.5625
2002-11-12,-4.6154
2002-11-13,0.0
2002-11-14,1.6129
2002-11-15,1.5873
2002-11-19,0.0
2002-11-20,0.9375
2002-11-21,-4.0248
2002-11-22,20.9677
2002-11-25,-13.3333
2002-11-26,0.0
2002-11-27,6.1538
2002-12-02,0.0
2002-12-03,0.0
2002-12-04,-13.0435
2002-12-05,11.6667
2002-12-06,-22.3881
2002-12-09,0.0
2002-12-10,-13.461500000000001
2002-12-11,0.0
2002-12-13,-8.8889
2002-12-17,0.0
2002-12-18,2.439
2002-12-19,-19.0476
2002-12-20,2.9412000000000003
2002-12-23,-14.2857
2002-12-26,16.6667
2002-12-30,0.0
2002-12-31,-5.7143
2003-01-03,6.0606
2003-01-07,-2.8571
2003-01-08,-5.8824
2003-01-09,0.0
2003-01-10,18.75
2003-01-13,-10.526299999999999
2003-01-14,-2.9412000000000003
2003-01-15,15.1515
2003-01-16,10.526299999999999
2003-01-21,-9.5238
2003-01-22,15.7895
2003-01-23,-11.3636
2003-01-24,-2.5641
2003-01-27,-5.2632
2003-01-28,-22.2222
2003-01-29,14.2857
2003-01-30,-6.25
2003-01-31,26.6667
2003-02-03,5.2632
2003-02-04,1.5
2003-02-05,-3.9409
2003-02-06,-2.5641
2003-02-07,2.6316
2003-02-10,-15.3846
2003-02-13,6.0606
2003-02-14,-11.4286
2003-02-18,12.9032
2003-02-20,-8.5714
2003-02-21,12.5
2003-02-25,2.7778
2003-02-26,5.4054
2003-02-27,12.8205
2003-02-28,2.2727
