ticker,HYHY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-03-23,26.6667
2004-03-31,6.3158
2004-04-20,18.8119
2004-04-30,25.0
2004-05-10,-33.3333
2004-07-12,-25.0
2004-07-14,0.0
2004-07-15,0.0
2004-07-21,2.6667
2004-07-22,0.0
2004-08-04,-22.0779
2004-09-23,0.0
2005-02-03,0.0
2005-02-04,83.3333
2005-02-07,-8.1818
2005-02-08,8.9109
2005-02-09,-8.1818
2005-04-27,8.9109
2005-04-28,-45.4545
2005-05-09,1.6667
2005-05-10,1.6393
2005-05-19,4.8387
2005-05-26,15.3846
2005-06-30,-13.3333
2005-07-13,0.0
2005-09-09,0.0
2005-09-19,0.7692
2006-06-22,-6.8702
2006-07-20,0.0
2006-08-01,22.9508
2006-08-18,0.0
2006-10-05,33.3333
2006-10-12,1.0
2006-11-13,0.0
2007-04-19,0.0
2007-04-30,53.4653
2007-05-03,-1.2903
2007-05-23,-31.3725
2007-06-25,42.8571
2007-07-02,29.3333
2007-07-03,106.1856
2007-07-05,30.5
2007-07-06,53.2567
2007-07-09,7.5
2007-07-10,-13.0233
2007-07-11,0.0
2007-07-12,-19.7861
2007-07-13,0.0
2007-07-16,16.6667
2007-07-17,0.0
2007-07-18,-8.5714
2007-07-20,-6.25
2007-07-24,-6.6667
2007-07-26,1.7856999999999998
2007-07-31,0.0
2007-08-03,-3.5088
2007-08-07,1.8182
2007-08-08,1.7856999999999998
2007-08-09,0.0
2007-08-13,0.0
2007-08-21,-29.8246
2007-08-22,22.5
2007-08-24,0.0
2007-08-29,0.0
2007-08-30,0.0
2007-08-31,18.3673
2007-09-04,3.4483
2007-09-07,50.0
2007-09-10,5.5556
2007-09-11,-26.3158
2007-09-13,7.1429
2007-09-14,1.3333
2007-09-17,18.4211
2007-09-18,7.7778
2007-09-19,13.4021
2007-09-20,-18.1818
2007-09-21,11.1111
2007-09-24,20.0
2007-09-25,-16.6667
2007-09-26,5.0
2007-09-27,0.9524
2007-09-28,-1.8868
2007-10-02,-32.6923
2007-10-03,0.0
2007-10-04,3.1429
2007-10-05,-23.8227
2007-10-08,9.0909
2007-10-09,0.0
2007-10-10,33.3333
2007-10-11,-12.5
2007-10-12,18.5714
2007-10-15,0.0
2007-10-16,-3.6145
2007-10-17,2.5
2007-10-18,-2.439
2007-10-19,5.0
2007-10-22,-20.2381
2007-10-23,25.3731
2007-10-24,-17.8571
2007-10-25,-7.2464
2007-10-29,29.6875
2007-10-30,-44.5783
2007-10-31,-2.1739
