ticker,HSCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-24,-4.3478
2000-01-25,0.0
2000-01-26,9.0909
2000-01-28,0.0
2000-02-01,1.3333
2000-02-22,6.9079
2000-02-29,-7.6923
2000-03-03,0.0
2000-03-08,0.0
2000-03-13,0.0
2000-03-22,0.0
2000-04-03,-8.3333
2000-05-02,9.0909
2000-05-05,0.0
2000-05-26,-41.6667
2000-06-07,0.0
2000-07-26,157.1429
2000-08-07,-77.7778
2000-08-09,-49.5
2000-08-10,0.0
2000-08-18,-0.9901
2000-08-24,-40.0
2000-08-25,0.0
2000-08-28,25.0
2000-08-30,-20.0
2000-09-11,-50.0
2000-09-13,-16.6667
2000-09-15,0.0
2000-09-18,304.0
2000-09-19,-49.505
2000-09-20,-21.5686
2000-09-21,-37.5
2000-09-22,0.0
2000-09-25,0.0
2000-09-26,0.0
2000-09-27,0.0
2000-09-28,0.0
2000-09-29,0.0
2000-10-02,-2.0
2000-10-04,0.0
2000-10-11,0.0
2000-10-12,0.0
2000-10-17,-2.0408
2000-10-18,-2.0833
2000-10-19,-10.6383
2000-10-20,-4.7619
2000-10-23,-5.0
2000-10-24,-2.6316
2000-10-26,-5.4054
2000-10-27,-2.8571
2000-11-02,-5.8824
2000-11-03,-3.125
2000-11-06,-3.2258
2000-11-07,0.0
2000-11-08,-5.0
2000-11-09,-1.7544
2000-11-10,-0.7143
2000-11-13,7.9137
2000-11-14,-8.6667
2000-11-15,-12.4088
2000-11-16,-33.3333
2000-11-17,25.0
2000-11-22,5.0
2000-11-27,-4.7619
2000-11-28,-5.0
2000-11-30,0.0
2000-12-01,-1.0526
2000-12-04,-4.2553
2000-12-08,-5.5556
2000-12-11,-26.4706
2000-12-13,4.0
2000-12-14,-7.6923
2000-12-15,-8.3333
2000-12-18,0.0
2000-12-19,-4.5455
2000-12-20,-19.0476
2000-12-26,-5.8824
2000-12-27,0.0
2000-12-28,-25.0
2000-12-29,-16.6667
2001-02-16,-60.0
2001-03-05,200.0
2001-03-07,66.6667
2001-03-08,0.0
2001-03-09,-80.0
2001-04-26,400.0
2001-04-30,0.0
2001-05-01,20.0
2001-05-02,-66.6667
2001-05-03,100.0
2001-05-08,-50.0
2001-05-15,150.0
2001-05-16,20.0
2001-06-04,-50.0
2001-06-29,33.3333
2001-07-11,-62.5
2001-08-14,166.6667
2001-10-05,-75.0
2001-10-15,0.0
2001-12-12,-40.0
2002-01-11,0.0
2002-03-14,33.3333
2002-03-19,-12.5
