ticker,TSBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,0.0
2000-01-05,-0.5556
2000-01-06,0.0
2000-01-07,0.0
2000-01-10,-0.5587
2000-01-11,0.0
2000-01-12,0.0
2000-01-13,0.0
2000-01-14,-0.5618
2000-01-18,0.565
2000-01-19,-0.5618
2000-01-20,-1.6949
2000-01-21,0.0
2000-01-24,-1.1494
2000-01-25,1.1628
2000-01-26,0.0
2000-01-27,-0.5747
2000-01-28,-0.578
2000-01-31,-1.1628
2000-02-01,0.5882
2000-02-02,-1.1696
2000-02-03,0.5917
2000-02-04,-0.5882
2000-02-07,-0.5917
2000-02-08,0.5952
2000-02-09,-0.5917
2000-02-10,0.0
2000-02-11,0.1667
2000-02-14,-3.5928
2000-02-15,5.5901
2000-02-16,-1.4706000000000001
2000-02-17,-0.2985
2000-02-18,-5.3892
2000-02-22,2.5316
2000-02-23,0.0
2000-02-24,1.2346
2000-02-25,-0.6098
2000-02-28,-0.6135
2000-02-29,0.0
2000-03-01,0.0
2000-03-02,0.6173
2000-03-03,-1.227
2000-03-06,0.6211
2000-03-07,-0.6173
2000-03-08,0.0
2000-03-09,0.6211
2000-03-10,-0.6173
2000-03-13,-0.6211
2000-03-14,-0.625
2000-03-15,1.2579
2000-03-16,2.4845
2000-03-17,0.0
2000-03-20,-1.2121
2000-03-21,-2.454
2000-03-22,-0.6289
2000-03-23,0.6329
2000-03-24,0.0
2000-03-27,-0.6289
2000-03-28,0.0
2000-03-29,0.0
2000-03-30,0.6329
2000-03-31,-1.2579
2000-04-03,-0.9554
2000-04-04,1.6077
2000-04-05,0.6329
2000-04-10,0.0
2000-04-11,0.0
2000-04-12,0.6289
2000-04-13,-0.625
2000-04-14,-2.5157
2000-04-17,-1.2903
2000-04-18,-0.6536
2000-04-19,0.0
2000-04-20,0.6579
2000-04-24,0.0
2000-04-25,0.6536
2000-04-26,0.0
2000-04-27,2.5974
2000-04-28,-1.8987
2000-05-01,0.0
2000-05-02,-1.2903
2000-05-03,-1.0196
2000-05-04,0.6667
2000-05-05,-1.3245
2000-05-08,0.3356
2000-05-09,0.3344
2000-05-10,0.6667
2000-05-11,-1.3245
2000-05-12,1.3423
2000-05-15,0.6623
2000-05-16,0.0
2000-05-17,0.0
2000-05-18,0.0
2000-05-19,0.0
2000-05-22,-0.3289
2000-05-23,0.0
2000-05-24,0.0
2000-05-25,-4.2904
2000-05-26,2.069
2000-05-30,0.6757
2000-05-31,-2.0134
