ticker,CTYP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-07-05,2.5
2003-04-03,51.4634
2003-04-04,1.8519
2003-04-21,2.7668
2003-05-22,-0.6923
2003-06-04,1.859
2003-06-05,-1.1407
2003-06-10,1.9231
2003-06-11,0.0
2003-06-12,0.0
2003-06-13,-1.8868
2003-06-16,-0.3846
2003-06-17,0.7752
2003-06-18,1.9231
2003-06-19,-2.6414999999999997
2003-06-24,0.7752
2003-06-25,-0.7692
2003-06-26,0.7752
2003-06-27,1.9231
2003-06-30,0.0
2003-07-01,0.0
2003-07-03,-2.6414999999999997
2003-07-07,2.7132
2003-07-08,0.0
2003-07-09,0.0
2003-07-10,-2.6414999999999997
2003-07-15,2.7132
2003-07-18,0.0
2003-07-23,0.0
2003-07-25,-2.6414999999999997
2003-07-29,2.7132
2003-07-31,-2.6414999999999997
2003-08-08,0.0
2003-08-14,0.7752
2003-08-19,-2.6923
2003-08-20,4.7431
2003-08-21,0.0
2003-09-02,0.0
2003-09-10,1.8868
2003-09-11,-0.3704
2003-10-03,-1.1194
2003-10-09,-1.5093999999999999
2003-10-14,2.2989
2003-10-15,0.0
2003-10-16,1.4981
2003-10-17,-3.69
2003-10-20,2.682
2003-10-21,0.7463
2003-10-22,-0.7407
2003-10-23,-2.6119
2003-10-24,3.4483
2003-10-27,-1.4815
2003-10-30,1.1278
2003-10-31,-2.974
2003-11-03,2.682
2003-11-04,-0.7463
2003-11-06,-1.8797000000000001
2003-11-07,2.682
2003-11-11,0.0
2003-11-12,-0.3731
2003-11-13,-2.6217
2003-11-18,2.6923
2003-11-19,0.0
2003-11-20,-0.3745
2003-11-21,0.3759
2003-11-24,0.0
2003-11-25,0.0
2003-11-26,0.0
2003-11-28,0.0
2003-12-01,0.0
2003-12-02,0.0
2003-12-03,-2.2472
2003-12-04,2.2989
2003-12-05,0.0
2003-12-09,-2.2472
2003-12-16,2.7132
2003-12-18,0.0
2003-12-23,-1.5093999999999999
2003-12-30,1.1494
2003-12-31,0.0
2004-01-02,-0.3788
2004-01-05,0.0
2004-01-08,0.3802
2004-01-15,-0.3788
2004-01-16,0.076
2004-01-21,0.304
2004-01-23,-0.7576
2004-01-27,0.0
2004-01-30,2.2901
2004-02-10,-1.4925
2004-02-17,0.0
2004-02-19,2.6515
2004-02-23,0.0
2004-03-03,0.0
2004-04-02,0.5939
2004-04-26,1.476
2004-05-05,1.8182
2004-05-18,0.0
2004-05-28,6.7857
2004-06-17,-0.3344
2004-06-28,-4.0268
