ticker,TTHG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-03,-25.4545
2000-02-10,31.7073
2000-03-03,-3.7037
2000-03-07,1.9231
2000-03-08,28.3019
2000-03-13,-30.8824
2000-03-14,2.1277
2000-03-16,33.3333
2000-03-20,0.0
2000-03-22,-12.5
2000-03-29,-28.5714
2000-03-30,0.0
2000-04-03,35.0
2000-04-05,-3.7037
2000-04-06,-1.9231
2000-04-07,21.5686
2000-04-12,-4.8387
2000-04-13,0.0
2000-04-14,-1.6949
2000-04-24,3.4483
2000-04-25,0.0
2000-04-26,-6.6667
2000-04-27,-5.3571
2000-05-05,-1.8868
2000-05-09,0.0
2000-05-10,-1.9231
2000-05-15,-21.5686
2000-05-17,-2.5
2000-05-19,2.5641
2000-05-23,5.0
2000-05-24,-4.7619
2000-05-30,-15.0
2000-05-31,29.4118
2000-06-01,-4.5455
2000-06-05,-50.0
2000-06-06,57.1429
2000-06-12,45.4545
2000-06-13,-14.5833
2000-06-14,7.3171
2000-06-15,9.0909
2000-06-16,-12.5
2000-06-20,-7.1429
2000-06-27,-2.5641
2000-06-28,10.526299999999999
2000-06-29,-11.9048
2000-07-05,10.8108
2000-07-07,-12.1951
2000-07-10,5.5556
2000-07-11,-21.0526
2000-07-18,-6.6667
2000-07-19,0.0
2000-07-20,14.2857
2000-07-21,6.25
2000-07-24,-5.8824
2000-07-25,18.75
2000-07-26,-10.526299999999999
2000-07-27,0.0
2000-08-02,-11.7647
2000-08-08,-13.3333
2000-08-17,15.3846
2000-08-18,-6.6667
2000-08-28,-7.1429
2000-09-05,-7.6923
2000-09-06,0.0
2000-09-07,0.0
2000-09-13,-25.0
2000-09-18,44.4444
2000-09-21,-7.6923
2000-09-22,8.3333
2000-09-25,15.3846
2000-10-02,-13.3333
2000-10-05,-30.7692
2000-10-06,5.5556
2000-10-10,10.526299999999999
2000-10-11,0.0
2000-10-13,-4.7619
2000-10-16,-10.0
2000-10-17,44.4444
2000-10-18,-7.6923
2000-10-19,4.1667
2000-11-02,-4.0
2000-11-10,-25.0
2000-11-27,0.0
2000-12-04,-33.3333
2000-12-05,91.6667
2000-12-06,-56.5217
2000-12-12,80.0
2000-12-19,13.8889
2000-12-21,-21.9512
2000-12-29,18.75
2001-01-05,-47.3684
2001-01-08,60.0
2001-01-18,-25.0
2001-01-23,-16.6667
2001-03-06,-35.0
2001-03-07,46.1538
2001-03-09,-5.2632
2001-03-12,-11.1111
2001-03-15,3.125
2001-03-16,3.0303
