ticker,DRSV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-01,0.0
2006-11-02,-3.6
2006-11-03,-1.8672
2006-11-06,0.4228
2006-11-07,-1.0526
2006-11-08,1.0638
2006-11-09,0.2105
2006-11-10,1.8908
2006-11-13,0.0
2006-11-14,0.0
2006-11-15,2.0619
2006-11-16,0.6061
2006-11-17,-4.6185
2006-11-20,0.0632
2006-11-21,-12.6867
2006-11-22,2.4096
2006-11-24,2.3529
2006-11-27,-1.1494
2006-11-28,-2.3256
2006-11-29,4.7619
2006-11-30,2.2727
2006-12-01,3.1111
2006-12-04,-3.4483
2006-12-05,-4.0179
2006-12-06,0.0
2006-12-07,-3.7209
2006-12-08,-4.5894
2006-12-11,1.2658
2006-12-12,-2.0
2006-12-13,-1.7856999999999998
2006-12-14,1.8182
2006-12-15,-0.5102
2006-12-18,-1.2821
2006-12-19,-9.0909
2006-12-20,6.0
2006-12-21,-0.5391
2006-12-22,0.271
2006-12-26,1.3514
2006-12-27,-1.3333
2006-12-28,5.4054
2006-12-29,1.7949000000000002
2007-01-03,-1.7631999999999999
2007-01-04,0.0
2007-01-05,7.6923
2007-01-08,0.7143
2007-01-09,-2.1277
2007-01-10,-3.3816
2007-01-11,0.0
2007-01-12,0.0
2007-01-16,-4.75
2007-01-17,3.6745
2007-01-18,1.2658
2007-01-19,3.75
2007-01-22,-5.0602
2007-01-23,10.4061
2007-01-24,1.1522999999999999
2007-01-25,-6.3663
2007-01-26,-5.3398
2007-01-29,1.2821
2007-01-30,0.0
2007-01-31,8.3544
2007-02-01,-5.6075
2007-02-02,1.4851
2007-02-05,6.0976
2007-02-06,-6.2069
2007-02-07,-1.829
2007-02-08,1.8631
2007-02-09,-1.9607999999999999
2007-02-12,-6.75
2007-02-13,-0.8043
2007-02-14,4.0541
2007-02-15,-2.5974
2007-02-16,1.3333
2007-02-20,0.0
2007-02-21,0.0
2007-02-22,2.6316
2007-02-23,-5.641
2007-02-26,3.2609
2007-02-27,7.8947
2007-02-28,-1.2195
2007-03-01,-4.9383
2007-03-02,6.4935
2007-03-05,-13.9024
2007-03-06,1.1331
2007-03-07,5.3221
2007-03-08,1.3298
2007-03-09,-3.6745
2007-03-12,-0.8174
2007-03-13,3.022
2007-03-14,-4.0
2007-03-15,-0.2778
2007-03-16,0.5571
2007-03-19,-1.385
2007-03-20,12.3596
2007-03-21,-2.25
2007-03-22,1.023
2007-03-23,1.2658
2007-03-26,0.0
2007-03-27,-3.75
2007-03-28,-1.2987
