ticker,UITA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-21,0.0
2006-12-22,-6.0
2006-12-26,6.383
2006-12-27,0.0
2006-12-28,-5.0
2006-12-29,5.2632
2007-01-03,-5.0
2007-01-04,-5.2632
2007-01-05,-1.1111
2007-01-08,0.0
2007-01-09,-10.1124
2007-01-10,0.0
2007-01-12,0.0
2007-01-16,-6.25
2007-01-17,0.0
2007-01-18,-13.3333
2007-01-19,-15.3846
2007-01-22,27.2727
2007-01-23,-21.4286
2007-01-24,27.2727
2007-01-26,-7.1429
2007-01-29,-9.2308
2007-01-30,0.0
2007-01-31,-15.2542
2007-02-01,0.0
2007-02-02,0.0
2007-02-05,0.0
2007-02-06,0.0
2007-02-07,0.0
2007-02-09,4.0
2007-02-12,-3.8462
2007-02-13,-10.0
2007-02-14,11.1111
2007-02-15,0.0
2007-02-16,-0.025
2007-02-20,-15.979
2007-02-21,-4.7619
2007-02-22,-5.0
2007-02-23,5.2632
2007-02-26,12.5
2007-02-27,-22.2222
2007-02-28,14.2857
2007-03-01,-2.5
2007-03-05,-7.6923
2007-03-06,-2.7778
2007-03-07,0.0
2007-03-08,5.7143
2007-03-09,-5.4054
2007-03-12,0.0
2007-03-13,0.0
2007-03-14,11.4286
2007-03-15,7.6923
2007-03-16,-16.6667
2007-03-19,5.7143
2007-03-20,0.0
2007-03-21,-13.5135
2007-03-22,3.125
2007-03-23,3.0303
2007-03-26,2.9412000000000003
2007-03-27,-2.8571
2007-03-28,-11.7647
2007-03-29,13.3333
2007-03-30,0.0
2007-04-02,0.0
2007-04-03,-20.5882
2007-04-04,33.3333
2007-04-05,-1.3889
2007-04-09,-1.4085
2007-04-10,0.0
2007-04-11,-14.2857
2007-04-12,0.0
2007-04-13,33.3333
2007-04-16,32.5
2007-04-17,-15.0943
2007-04-18,11.1111
2007-04-19,6.0
2007-04-20,-3.7736
2007-04-23,-1.9607999999999999
2007-04-24,-10.0
2007-04-25,0.0
2007-04-26,-2.2222
2007-04-27,-6.8182
2007-04-30,-12.1951
2007-05-01,-2.7778
2007-05-02,-31.4286
2007-05-03,37.5
2007-05-04,15.1515
2007-05-07,-5.2632
2007-05-08,-16.6667
2007-05-10,0.0
2007-05-11,-6.6667
2007-05-14,-5.3571
2007-05-15,0.0
2007-05-16,39.6226
2007-05-17,-10.8108
2007-05-18,-3.0303
2007-05-21,6.25
2007-05-22,-11.7647
2007-05-23,16.6667
2007-05-24,-20.0
2007-05-25,7.1429
2007-05-29,9.6667
