ticker,AFFL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-05,6.6667
2000-01-06,13.3333
2000-01-07,2.9412000000000003
2000-01-10,0.0
2000-01-11,-25.7143
2000-01-12,26.9231
2000-01-13,-24.2424
2000-01-14,-4.0
2000-01-18,0.0
2000-01-19,16.6667
2000-01-20,7.1429
2000-01-21,16.6667
2000-01-24,71.4286
2000-01-25,27.5
2000-01-26,-15.0327
2000-01-27,5.7692
2000-01-28,9.0909
2000-01-31,-16.6667
2000-02-01,20.0
2000-02-02,-8.3333
2000-02-03,18.1818
2000-02-04,7.6923
2000-02-07,-21.4286
2000-02-08,22.7273
2000-02-09,3.7037
2000-02-10,0.0
2000-02-11,-21.4286
2000-02-14,18.1818
2000-02-15,-15.3846
2000-02-16,9.0909
2000-02-17,-8.4
2000-02-18,-9.0247
2000-02-22,-5.0
2000-02-23,5.2632
2000-02-24,-20.0
2000-02-25,0.0
2000-02-28,25.0
2000-02-29,10.0
2000-03-01,0.0
2000-03-02,0.0
2000-03-03,-36.3636
2000-03-06,0.0
2000-03-07,7.1429
2000-03-08,0.0
2000-03-09,-20.0
2000-03-10,0.0
2000-03-13,33.3333
2000-03-14,-6.25
2000-03-16,-6.6667
2000-03-17,0.0
2000-03-20,7.1429
2000-03-21,-20.0
2000-03-22,8.3333
2000-03-23,0.0
2000-03-24,7.6923
2000-03-27,-7.1429
2000-03-28,-15.3846
2000-03-29,0.0
2000-03-30,0.0
2000-04-04,9.0909
2000-04-06,0.0
2000-04-07,14.6667
2000-04-10,1.7442
2000-04-11,0.0
2000-04-12,-14.2857
2000-04-13,16.6667
2000-04-14,-42.8571
2000-04-17,0.0
2000-04-20,50.0
2000-04-24,-50.0
2000-04-25,66.6667
2000-04-26,-30.0
2000-04-27,0.0
2000-04-28,71.4286
2000-05-01,16.6667
2000-05-02,-14.2857
2000-05-03,0.0
2000-05-04,0.2667
2000-05-08,16.3564
2000-05-10,-13.1429
2000-05-11,23.3553
2000-05-12,-13.3333
2000-05-15,-7.6923
2000-05-16,0.0
2000-05-17,-16.6667
2000-05-18,80.0
2000-05-19,-5.5556
2000-05-22,35.2941
2000-05-23,-26.087
2000-05-24,13.1294
2000-05-25,16.4725
2000-05-26,-7.1429
2000-05-30,0.0
2000-05-31,-13.461500000000001
2000-06-01,-33.3333
2000-06-02,-33.3333
2000-06-05,25.0
2000-06-06,40.0
2000-06-08,0.0
2000-06-09,-14.2857
2000-06-12,-25.0
2000-06-13,22.2222
