ticker,ERUC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-09-14,-90.0
2000-09-20,0.0
2000-10-27,900.0
2000-12-14,0.0
2001-03-02,100.0
2001-03-27,-50.0
2001-04-03,0.0
2001-06-27,0.0
2002-11-29,0.0
2003-03-27,0.0
2003-07-21,0.0
2003-07-29,0.0
2003-07-31,0.0
2003-09-03,0.0
2003-10-07,0.0
2003-10-23,0.0
2003-11-21,0.0
2004-01-16,0.0
2004-06-01,0.0
2004-06-23,0.0
2004-09-03,0.0
2004-11-05,3900.0
2004-11-08,10.0
2004-11-09,11.3636
2004-11-10,2.0408
2004-11-11,26.0
2004-11-12,11.1111
2004-11-15,-2.8571
2004-11-16,-4.4118
2004-11-17,-1.5385
2004-11-18,-6.25
2004-11-19,-13.3333
2004-11-22,3.8462
2004-11-23,-4.6296
2004-11-24,-10.6796
2004-11-26,30.4348
2004-11-29,-11.6667
2004-11-30,-5.6604
2004-12-01,0.0
2004-12-02,-20.0
2004-12-03,12.5
2004-12-06,17.7778
2004-12-07,-5.6604
2004-12-08,-6.0
2004-12-09,0.0
2004-12-10,4.2553
2004-12-13,-8.1633
2004-12-14,-2.2222
2004-12-15,-9.0909
2004-12-16,10.0
2004-12-17,-29.5455
2004-12-20,-3.2258
2004-12-21,-16.6667
2004-12-22,-28.0
2004-12-23,11.1111
2004-12-27,10.0
2004-12-28,18.1818
2004-12-29,11.538499999999999
2004-12-30,34.4828
2004-12-31,2.5641
2005-01-03,0.0
2005-01-04,-12.5
2005-01-05,2.8571
2005-01-06,5.5556
2005-01-07,-6.5789
2005-01-10,52.1127
2005-01-11,18.5185
2005-01-12,40.625
2005-01-13,61.1111
2005-01-14,-27.5862
2005-01-18,-8.5714
2005-01-19,-14.5833
2005-01-20,-12.1951
2005-01-21,11.1111
2005-01-24,-7.5
2005-01-25,12.1622
2005-01-26,4.8193
2005-01-27,-13.7931
2005-01-28,6.6667
2005-01-31,-2.5
2005-02-01,-5.7692
2005-02-02,-10.2041
2005-02-03,0.0
2005-02-04,4.5455
2005-02-07,-5.7971
2005-02-08,-1.5385
2005-02-09,-3.125
2005-02-10,-9.6774
2005-02-11,10.7143
2005-02-14,-1.6129
2005-02-15,-4.918
2005-02-16,-6.8966
2005-02-17,-3.7037
2005-02-18,7.6923
2005-02-22,-7.1429
2005-02-23,5.7692
2005-02-24,-3.6364
2005-02-25,3.7736
2005-02-28,-1.8182
2005-03-01,0.0
2005-03-02,-1.8519
2005-03-03,-5.6604
