ticker,OBDP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-06-10,55.3333
2004-06-14,7.2961
2004-06-15,4.0
2004-06-16,-7.6923
2004-06-17,0.0
2004-06-18,-4.1667
2004-06-21,-19.5652
2004-06-22,-2.7027
2004-06-23,0.0
2004-06-24,23.8889
2004-06-25,-1.3453
2004-06-28,-27.2727
2004-06-29,6.25
2004-06-30,-41.1765
2004-07-01,80.0
2004-07-02,-16.6667
2004-07-06,0.0
2004-07-07,-40.0
2004-07-08,66.6667
2004-07-09,20.0
2004-07-12,-11.1111
2004-07-13,0.0
2004-07-15,20.0
2004-07-16,-6.25
2004-07-19,-55.5556
2004-07-20,125.0
2004-07-21,0.0
2004-07-22,0.0
2004-07-28,117.7778
2004-07-29,2.0408
2004-07-30,20.0
2004-08-02,-47.5
2004-08-03,-36.5079
2004-08-04,25.0
2004-08-05,-20.0
2004-08-06,-37.5
2004-08-09,48.0
2004-08-10,-18.9189
2004-08-11,-13.3333
2004-08-12,3.8462
2004-08-13,11.1111
2004-08-17,0.0
2004-08-18,0.0
2004-08-19,0.0
2004-08-20,0.0
2004-08-23,-33.3333
2004-08-24,50.0
2004-08-25,26.6667
2004-08-27,-7.8947
2004-08-31,-42.8571
2004-09-01,50.0
2004-09-02,0.0
2004-09-07,0.0
2004-09-08,0.0
2004-09-10,-33.3333
2004-09-13,0.0
2004-09-14,25.0
2004-09-16,0.0
2004-09-21,-12.0
2004-09-22,-31.8182
2004-09-27,-66.6667
2004-10-08,500.0
2004-10-11,-66.6667
2004-10-13,0.0
2004-10-18,200.0
2004-10-19,-86.6667
2004-10-21,0.0
2004-10-22,150.0
2004-10-26,-50.0
2004-10-28,0.0
2004-10-29,440.0
2004-11-01,-25.9259
2004-11-02,-50.0
2004-11-03,-50.0
2004-11-04,300.0
2004-11-05,-72.5
2004-11-08,245.4545
2004-11-09,-21.0526
2004-11-10,33.3333
2004-11-12,-75.0
2004-11-19,0.0
2004-11-22,300.0
2004-11-24,-5.0
2004-11-29,-47.3684
2004-12-01,100.0
2004-12-06,-75.0
2004-12-07,100.0
2004-12-09,700.0
2004-12-10,162.5
2004-12-13,57.1429
2004-12-14,15.1515
2004-12-15,50.0
2004-12-16,-17.5439
2004-12-17,-21.2766
2004-12-20,21.6216
2004-12-21,33.3333
2004-12-22,23.3333
2004-12-23,-6.0811
2004-12-27,-13.6691
2004-12-28,0.0
2004-12-29,13.3333
2004-12-30,4.4118
2004-12-31,20.4225
2005-01-03,-6.4327
