ticker,FIEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-12.5
2000-01-05,0.0
2000-01-06,0.0
2000-01-18,0.0
2000-01-21,1.7856999999999998
2000-01-26,-12.2807
2000-02-02,12.0
2000-02-11,-7.1429
2000-02-15,11.538499999999999
2000-02-28,0.0
2000-02-29,-3.4483
2000-03-03,-14.2857
2000-03-10,20.8333
2000-03-16,-15.5172
2000-03-22,6.1224
2000-03-24,-6.7308
2000-03-29,-5.1546
2000-04-05,-13.0435
2000-04-07,20.0
2000-04-17,-15.625
2000-04-25,23.4568
2000-05-10,4.0
2000-05-16,-7.6923
2000-05-24,2.0833
2000-06-06,0.0
2000-06-19,-10.2041
2000-06-20,11.3636
2000-07-05,0.0
2000-07-07,0.0
2000-07-18,4.0816
2000-07-21,1.9607999999999999
2000-07-24,0.0
2000-07-27,0.0
2000-08-01,-5.7692
2000-08-08,-8.1633
2000-08-18,15.5556
2000-08-29,-3.3654
2000-09-06,-11.4428
2000-09-12,15.7303
2000-09-26,0.9709
2000-10-03,-0.9615
2000-10-06,-17.4757
2000-10-10,-1.1764999999999999
2000-10-11,-3.5714
2000-10-12,6.1728
2000-10-16,-13.9535
2000-10-17,9.4595
2000-10-25,-8.642
2000-10-27,12.8378
2000-10-30,0.5988
2000-10-31,-14.2857
2000-11-01,12.5
2000-11-07,3.7037
2000-11-09,-10.7143
2000-11-21,18.6667
2000-11-28,-7.8652
2000-12-04,0.6098
2000-12-06,-3.0303
2000-12-11,3.125
2000-12-13,-9.0909
2000-12-14,-1.3333
2000-12-18,16.2162
2000-12-22,16.2791
2001-01-09,0.0
2001-01-18,4.0
2001-01-22,4.8077
2001-01-24,-0.9174
2001-02-06,-3.7037
2001-02-07,-0.9615
2001-02-09,4.8544
2001-02-14,-1.8519
2001-02-15,-5.6604
2001-02-26,0.0
2001-03-08,-2.0
2001-03-09,2.0408
2001-03-23,4.0
2001-03-27,0.0
2001-04-04,0.0
2001-04-05,-5.7692
2001-04-16,-1.0204
2001-04-25,-7.2165
2001-04-26,13.3333
2001-05-02,-1.9607999999999999
2001-05-04,-8.16
2001-05-10,-2.0035
2001-05-11,6.6667
2001-05-14,-3.3333
2001-05-17,1.7241
2001-05-18,-4.661
2001-05-21,0.0
2001-05-22,11.1111
2001-05-24,-10.0
2001-06-05,0.0
2001-06-12,10.6667
2001-06-14,-7.6305
2001-06-15,8.6957
2001-06-18,-10.0
2001-06-20,11.1111
2001-06-25,-0.08
2001-06-26,-9.9279
