ticker,WSFGQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-14,13.3333
2006-12-15,1.6042999999999998
2006-12-18,-1.3158
2006-12-19,-0.8
2006-12-20,-0.2151
2006-12-21,1.8858000000000001
2006-12-22,0.4759
2006-12-26,-0.1579
2006-12-27,0.1054
2006-12-28,-1.2638
2006-12-29,2.4
2007-01-03,-0.9375
2007-01-04,1.6818
2007-01-05,-0.6198
2007-01-08,-1.3528
2007-01-09,-0.5802
2007-01-10,0.1061
2007-01-11,0.4769
2007-01-12,0.3165
2007-01-16,-0.1052
2007-01-17,0.0526
2007-01-18,-1.3151
2007-01-19,0.3198
2007-01-22,0.8502
2007-01-23,0.0
2007-01-24,0.295
2007-01-25,3.2255
2007-01-26,0.0
2007-01-29,1.0687
2007-01-30,-2.8197
2007-01-31,0.7772
2007-02-01,1.3368
2007-02-02,-1.5221
2007-02-05,1.5971
2007-02-06,0.355
2007-02-07,0.8085
2007-02-08,-1.7544
2007-02-09,1.5306
2007-02-12,0.2513
2007-02-13,-2.2055
2007-02-14,-1.5889
2007-02-15,2.5
2007-02-16,0.3049
2007-02-20,-3.7994
2007-02-21,1.6324
2007-02-22,0.0
2007-02-23,-1.0369
2007-02-26,0.786
2007-02-27,-1.2987
2007-02-28,0.4211
2007-03-01,0.9539
2007-03-02,-0.0623
2007-03-05,-2.1299
2007-03-06,-0.2123
2007-03-07,-1.4894
2007-03-08,0.6479
2007-03-09,-0.3755
2007-03-12,-0.377
2007-03-13,-0.1081
2007-03-14,-2.0563
2007-03-15,-1.5470000000000002
2007-03-19,-0.8979
2007-03-20,-1.4723
2007-03-21,2.2989
2007-03-22,2.2472
2007-03-23,-0.2747
2007-03-26,0.4959
2007-03-27,-0.2741
2007-03-28,-0.2199
2007-03-29,-0.6061
2007-03-30,-0.2217
2007-04-02,-0.8333
2007-04-03,0.2801
2007-04-05,-1.4525000000000001
2007-04-09,-1.9274
2007-04-10,-2.8324
2007-04-11,0.6544
2007-04-12,-2.4823
2007-04-13,1.4545
2007-04-16,-0.1195
2007-04-17,-2.0933
2007-04-18,-0.672
2007-04-19,-1.353
2007-04-20,-0.2494
2007-04-23,-1.0625
2007-04-24,-2.0846
2007-04-25,-0.7742
2007-04-26,2.4699
2007-04-27,0.0642
2007-04-30,-0.1268
2007-05-01,5.0794
2007-05-02,-1.7523
2007-05-03,1.4144999999999999
2007-05-04,-1.0309
2007-05-07,2.3284000000000002
2007-05-08,0.0599
2007-05-09,0.8378
