ticker,GFCJ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-07,6.25
2000-01-27,0.0
2000-02-11,0.4412
2000-02-23,-0.4392
2000-02-24,0.4412
2000-03-09,0.7321
2000-04-12,-6.25
2000-04-27,-0.4651
2000-05-16,-22.1184
2000-06-01,16.0
2000-06-02,0.0
2000-06-27,7.2414
2000-06-30,-0.3215
2000-12-11,-19.3548
2000-12-22,24.0
2001-01-19,1.6129
2001-05-02,7.9365
2001-05-09,0.0
2001-05-11,0.0
2001-09-20,13.2353
2002-01-17,2.8571
2002-02-04,1.6414
2002-02-14,-0.3727
2002-03-18,1.1222
2002-07-05,40.5672
2002-07-08,-14.9123
2002-07-18,13.4021
2002-07-22,1.8182
2002-07-29,-5.3571
2002-07-30,7.5472
2002-08-22,3.5088
2002-08-27,0.0
2002-08-28,0.0
2002-08-29,1.6949
2002-12-04,3.3333
2002-12-09,0.8065
2003-01-02,0.0
2003-02-11,14.0
2003-04-23,5.2632
2003-05-02,-4.6667
2003-06-02,25.8741
2003-06-03,-11.1111
2003-06-10,0.0
2003-07-10,0.0
2003-07-17,7.5
2003-07-18,0.0
2003-07-25,0.0
2003-07-29,2.3256
2003-08-01,1.1364
2003-08-05,-4.4944
2003-08-08,3.5294
2003-08-11,0.2841
2003-08-12,54.1076
2003-08-19,-23.8095
2003-08-20,1.0417
2003-09-09,0.5361
2003-09-25,4.5939
2003-09-29,47.0588
2003-10-10,-26.6667
2003-10-20,0.0
2003-10-22,14.5455
2003-11-12,-4.6711
2003-11-13,8.3333
2003-11-19,10.0
2003-11-20,4.8951
2003-11-24,0.0
2003-11-25,-8.6667
2003-12-02,16.7883
2003-12-03,-11.25
2003-12-10,10.9155
2003-12-11,-1.5873
2003-12-15,3.2258
2003-12-17,-0.625
2003-12-19,1.8868
2003-12-22,-1.8519
2003-12-23,-3.7736
2003-12-24,1.3072
2003-12-26,3.2258
2003-12-29,0.0
2003-12-30,1.325
2004-01-05,-3.0864
2004-01-07,0.0
2004-01-09,1.9108
2004-01-13,0.0
2004-01-14,1.25
2004-01-21,0.6173
2004-01-22,0.0
2004-01-30,2.454
2004-02-03,0.0
2004-02-04,-2.0958
2004-02-06,0.9174
2004-02-09,0.303
2004-02-10,-0.3021
2004-02-11,0.0
2004-02-13,0.4545
2004-03-04,0.0
2004-03-09,2.5641
2004-03-11,-0.8824
2004-03-15,-0.2967
2004-03-16,0.5952
2004-03-18,0.2959
2004-03-22,-0.885
2004-03-23,0.2976
