ticker,TSBA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-08-22,13.4328
2000-08-31,-5.2632
2001-01-17,5.5556
2001-03-21,0.6579
2001-03-22,4.5752
2001-04-12,2.5
2001-04-16,-1.8293
2001-05-31,1.8634
2001-07-12,-3.6585
2001-07-16,6.3291
2001-07-18,-2.3810000000000002
2001-07-19,2.439
2001-07-25,-4.7619
2001-08-29,5.0
2001-10-12,0.0
2002-02-07,19.0476
2002-05-10,4.0
2002-06-18,3.8462
2002-09-10,11.2222
2002-09-11,-5.0949
2002-09-12,10.526299999999999
2002-09-16,9.5238
2002-09-18,-4.3478
2002-09-19,9.0909
2002-09-20,-19.0
2002-09-23,-1.2346
2002-09-24,0.0
2002-09-25,0.0
2002-09-26,-1.0417
2002-09-27,0.0
2002-09-30,0.0
2002-10-01,0.0
2002-10-02,0.0
2002-10-03,0.0
2002-10-04,-0.5263
2002-10-07,-0.5291
2002-10-08,-0.8404
2002-10-09,-0.6437
2002-10-10,0.0
2002-10-11,-0.108
2002-10-14,-2.7132
2002-10-15,0.0
2002-10-16,5.4444
2002-10-17,0.0
2002-10-18,-0.1054
2002-10-21,-3.7869
2002-10-22,1.4143
2002-10-23,5.8378
2002-10-29,2.0429
2002-10-30,0.991
2002-11-01,-0.3766
2002-11-04,-0.5074
2002-11-06,0.01
2002-11-07,-1.0099
2002-11-11,1.0101
2002-11-12,-3.0
2002-11-13,-0.2062
2002-11-15,-0.4132
2002-11-18,0.4149
2002-11-25,-0.3099
2002-12-02,-1.5544
2002-12-09,-0.5263
2002-12-10,1.5873
2002-12-12,-1.3542
2002-12-18,3.4847
2002-12-27,3.6269
2003-01-02,-1.7
2003-01-03,-1.3225
2003-01-07,1.6392
2003-01-08,1.5316
2003-01-10,-0.2997
2003-01-15,0.7014
2003-01-16,-0.4975
2003-01-21,0.9
2003-01-23,-0.3964
2003-01-29,6.8657
2003-01-30,-1.2942
2003-02-03,0.3679
2003-02-04,0.5639
2003-02-05,0.0
2003-02-10,0.0
2003-02-11,0.0
2003-02-13,-1.4019
2003-02-20,-0.5687
2003-02-21,1.4299
2003-02-24,0.094
2003-02-25,0.6573
2003-02-26,0.2799
2003-03-03,-0.9302
2003-03-07,0.3756
2003-03-12,-2.4322
2003-03-26,-0.2876
2003-03-27,0.5769
2003-03-28,0.5736
2003-04-01,4.5626999999999995
2003-04-03,0.0
2003-04-04,-1.9091
2003-04-09,0.3707
2003-04-15,0.0
2003-04-16,-2.1237
2003-04-17,2.1698
