ticker,STIE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-20,6.6667
2010-10-21,43.5
2010-10-26,0.0
2010-11-02,-12.892
2010-11-08,11.0
2010-11-09,-9.9099
2010-11-30,-18.0
2010-12-01,26.8293
2010-12-13,0.9615
2010-12-21,-2.8571
2011-01-11,0.9804
2011-02-04,1.9417
2011-03-01,-2.8571
2011-03-02,2.9412000000000003
2011-03-09,-9.5238
2011-03-14,12.6316
2011-03-17,-15.8879
2011-03-18,18.8889
2011-03-25,0.0
2011-04-08,-5.6075
2011-04-26,-5.9406
2011-04-27,0.0
2011-05-03,12.6316
2011-05-05,0.0
2011-05-09,-15.8879
2011-05-10,5.3333
2011-05-13,5.4852
2011-05-18,-1.0
2011-05-19,-4.0404
2011-05-20,4.2105
2011-06-03,3.0303
2011-06-06,2.9412000000000003
2011-06-14,-2.8571
2011-06-17,-21.5686
2011-06-20,32.0
2011-06-23,-10.9848
2011-06-24,-9.5745
2011-06-27,8.2353
2011-06-30,-1.087
2011-07-01,8.7912
2011-07-13,-8.0808
2011-07-19,4.3956
2011-07-20,-2.1053
2011-07-25,-9.6774
2011-07-26,4.7619
2011-08-02,-5.4545
2011-08-04,-3.8462
2011-08-08,5.0
2011-08-09,-4.7619
2011-08-10,12.5
2011-08-12,-11.1111
2011-08-17,0.0
2011-08-18,-12.0
2011-08-19,6.5341000000000005
2011-08-22,8.0
2011-08-23,12.3457
2011-08-24,4.3956
2011-08-25,4.2105
2011-08-26,-14.1414
2011-08-29,-5.8824
2011-08-30,1.25
2011-08-31,20.9877
2011-09-06,-18.3673
2011-09-07,2.25
2011-09-08,-2.2005
2011-09-09,-12.5
2011-09-13,15.7143
2011-09-14,-12.3457
2011-09-15,14.0845
2011-09-16,11.1111
2011-09-22,-16.6667
2011-09-26,14.6667
2011-09-28,-4.6512
2011-09-29,10.7317
2011-10-03,-22.9075
2011-10-04,20.0
2011-10-05,-27.381
2011-10-06,-9.8361
2011-10-07,43.6364
2011-10-10,-11.3924
2011-10-11,0.0
2011-10-12,-10.0
2011-10-13,28.5714
2011-10-14,-13.5802
2011-10-17,-68.0
2011-10-18,341.9643
2011-10-20,-39.3939
2011-10-21,56.6667
2011-10-24,-4.2553
2011-10-25,-33.3333
2011-10-26,-33.3333
2011-10-27,42.5
2011-10-28,22.807
2011-10-31,0.0
2011-11-01,-14.2857
2011-11-02,25.0
2011-11-03,-21.3333
2011-11-04,5.0847
2011-11-07,3.2258
2011-11-08,1.5625
