ticker,SOHU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-07-12,0.0
2000-07-13,0.9615
2000-07-14,-0.4762
2000-07-17,-7.6555
2000-07-18,-18.1347
2000-07-19,-7.5949
2000-07-20,-1.3699
2000-07-21,-7.1181
2000-07-24,-8.0374
2000-07-25,-5.6911000000000005
2000-07-26,-7.7586
2000-07-27,-14.0187
2000-07-28,-4.3478
2000-07-31,15.9091
2000-08-01,4.902
2000-08-02,-2.8037
2000-08-03,-5.7692
2000-08-04,6.1224
2000-08-07,-1.9231
2000-08-08,-1.9607999999999999
2000-08-09,-9.0
2000-08-10,8.2418
2000-08-11,-4.5685
2000-08-14,-2.1277
2000-08-15,-10.8696
2000-08-16,4.878
2000-08-17,9.3023
2000-08-18,6.383
2000-08-21,2.0
2000-08-22,0.0
2000-08-23,0.0
2000-08-24,3.9215999999999998
2000-08-25,-3.7736
2000-08-28,0.9804
2000-08-29,-0.4854
2000-08-30,0.4878
2000-08-31,18.4466
2000-09-01,-1.6393
2000-09-05,-8.3333
2000-09-06,0.9091
2000-09-07,5.4054
2000-09-08,-2.5641
2000-09-11,-5.2632
2000-09-12,1.8519
2000-09-13,1.8182
2000-09-14,8.9286
2000-09-15,0.0
2000-09-18,-4.0984
2000-09-19,6.8376
2000-09-20,-4.0
2000-09-21,-5.0
2000-09-22,-6.1404
2000-09-25,-2.8037
2000-09-26,-1.9231
2000-09-27,-5.3922
2000-09-28,-8.8083
2000-09-29,5.6818
2000-10-02,-6.4516
2000-10-03,-1.1494
2000-10-04,1.1628
2000-10-05,-10.3448
2000-10-06,-17.9487
2000-10-09,9.375
2000-10-10,-2.1429
2000-10-11,-6.5693
2000-10-12,1.1719
2000-10-13,32.8185
2000-10-16,-6.9767
2000-10-17,-12.5
2000-10-18,-1.4285999999999999
2000-10-19,5.7971
2000-10-20,0.0
2000-10-23,1.3699
2000-10-24,-5.4054
2000-10-25,-2.8571
2000-10-26,0.0
2000-10-27,1.4706000000000001
2000-10-30,-1.4493
2000-10-31,-28.6765
2000-11-01,3.0928
2000-11-02,0.0
2000-11-03,-2.0
2000-11-06,-2.0408
2000-11-07,0.0
2000-11-08,2.0833
2000-11-09,-8.1633
2000-11-10,4.4444
2000-11-13,-2.1277
2000-11-14,4.3478
2000-11-15,2.0833
2000-11-16,-6.1224
2000-11-17,0.0
2000-11-20,-2.1739
2000-11-21,-6.6667
2000-11-22,-7.1429
2000-11-24,6.4103
2000-11-27,-8.4337
2000-11-28,-5.2632
