ticker,SCAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-02-11,-10.0
2005-03-15,-94.3056
2005-03-16,-2.439
2005-03-17,300.0
2005-03-18,300.0
2005-03-21,91.25
2005-04-01,96.0784
2005-04-05,-33.3333
2005-04-06,160.0
2005-04-07,-23.0769
2005-04-08,20.0
2005-04-12,45.8333
2005-04-13,-14.2857
2005-04-15,16.6667
2005-04-25,111.4286
2005-04-26,22.973
2005-04-27,-2.1978
2005-04-29,8.427
2005-05-02,-4.6632
2005-05-03,-45.6522
2005-05-04,90.0
2005-05-06,-25.2632
2005-05-10,4.2254
2005-05-11,29.7297
2005-05-12,-11.4583
2005-05-16,-41.1765
2005-05-17,-30.0
2005-05-18,0.0
2005-05-19,-11.4286
2005-05-20,6.4516
2005-05-23,21.2121
2005-05-24,-17.5
2005-05-25,36.3636
2005-05-26,-20.0
2005-05-27,13.8889
2005-06-01,-51.2195
2005-06-02,15.0
2005-06-03,-8.6957
2005-06-06,0.0
2005-06-07,2.3810000000000002
2005-06-09,-6.9767
2005-06-13,50.0
2005-06-14,0.0
2005-06-16,-8.3333
2005-06-17,-63.6364
2005-06-22,30.0
2005-06-24,-61.5385
2005-06-28,20.0
2005-06-29,-16.6667
2005-07-06,0.0
2005-07-08,120.0
2005-07-11,0.0
2005-07-12,36.3636
2005-07-13,-33.3333
2005-07-14,30.0
2005-07-19,-3.8462
2005-07-20,-52.0
2005-07-22,125.0
2005-07-25,-3.7037
2005-07-27,-15.3846
2005-07-29,-36.3636
2005-08-01,14.2857
2005-08-05,75.0
2005-08-08,-42.8571
2005-08-10,31.25
2005-08-19,-4.7619
2005-08-25,0.0
2005-09-06,-25.0
2005-09-14,6.6667
2005-09-15,37.5
2005-09-28,-27.2727
2005-10-03,-12.5
2005-10-04,14.2857
2005-10-06,-50.0
2005-10-13,0.0
2005-10-24,425.0
2005-10-25,-4.7619
2005-10-28,-70.0
2005-10-31,66.6667
2005-11-02,-50.0
2005-11-07,0.0
2005-11-09,20.0
2005-11-28,-16.6667
2005-11-29,0.0
2005-12-02,0.0
2005-12-08,60.0
2005-12-09,25.0
2005-12-12,-60.0
2005-12-13,0.0
2005-12-14,0.0
2005-12-15,75.0
2005-12-16,0.0
2005-12-19,-28.5714
2005-12-20,80.0
2005-12-21,0.0
2005-12-22,0.0
2005-12-23,-11.1111
2006-01-04,-37.5
2006-01-06,-20.0
2006-01-09,0.0
2006-01-10,125.0
2006-01-11,0.0
2006-01-12,-55.5556
