ticker,CETG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-23,-60.7843
2007-05-24,0.0
2008-03-17,1650.0
2008-03-18,2.8571
2008-03-19,0.0
2008-03-20,-3.3333
2008-03-24,-0.2874
2008-03-25,0.8646
2008-03-26,0.0
2008-03-27,-7.1429
2008-04-01,1.5385
2008-04-03,10.6061
2008-04-04,0.0
2008-04-07,-17.8082
2008-04-08,3.3333
2008-04-09,17.4194
2008-04-10,-10.7143
2008-04-11,-7.6923
2008-04-14,0.3333
2008-04-15,-1.6611
2008-04-16,1.3514
2008-04-17,-1.6667
2008-04-18,0.0
2008-04-21,3.3898
2008-04-22,-2.9508
2008-04-23,3.0405
2008-04-24,-2.9508
2008-04-25,-0.3378
2008-04-28,3.3898
2008-04-29,-3.2787
2008-04-30,2.3729
2008-05-02,0.0
2008-05-06,0.0
2008-05-08,2.649
2008-05-15,-9.6774
2008-05-16,0.0
2008-05-19,-3.5714
2008-05-20,1.8519
2008-05-21,-1.8182
2008-05-22,-3.7037
2008-05-23,-3.8462
2008-05-27,0.0
2008-05-28,0.0
2008-06-02,-4.0
2008-06-03,-4.5833
2008-06-04,10.4803
2008-06-05,-5.1383
2008-06-06,0.0
2008-06-10,0.0
2008-06-16,-8.3333
2008-06-17,0.0
2008-06-18,0.0
2008-06-23,9.0909
2008-06-24,-11.6667
2008-06-26,-0.9434
2008-06-27,2.3810000000000002
2008-06-30,0.0
2008-07-01,-3.7209
2008-07-02,1.4493
2008-07-07,0.0
2008-07-08,1.9048
2008-07-09,8.411200000000001
2008-07-10,1.2931
2008-07-11,3.4043
2008-07-14,0.0
2008-07-15,0.823
2008-07-16,-0.8163
2008-07-17,6.9959
2008-07-18,3.8462
2008-07-21,0.0
2008-07-22,1.8519
2008-07-23,0.0
2008-07-24,-3.6364
2008-07-25,-5.6604
2008-07-28,5.6
2008-07-29,0.0
2008-07-30,6.0606
2008-07-31,-1.4285999999999999
2008-08-01,-0.3623
2008-08-04,8.7273
2008-08-05,-0.3344
2008-08-06,0.3356
2008-08-07,-1.3378
2008-08-08,0.0
2008-08-11,-3.3898
2008-08-12,3.5088
2008-08-13,-8.4746
2008-08-14,7.4074
2008-08-15,-12.069
2008-08-18,1.9607999999999999
2008-08-19,1.8846
2008-08-20,3.8128
2008-08-21,3.6364
2008-08-22,0.0
2008-08-25,-3.5088
2008-08-26,1.8182
2008-08-27,-3.5714
2008-08-28,3.7037
2008-08-29,0.0
2008-09-02,-1.7856999999999998
