ticker,ABZUF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-01-24,-7.0115
2011-02-18,13.1644
2011-02-22,-3.4749
2011-02-24,-3.9677
2011-02-28,3.5646
2011-03-01,-0.0996
2011-03-02,8.0438
2011-03-11,-1.7723
2011-03-22,-9.5177
2011-03-25,-5.1149000000000004
2011-03-28,-0.6719
2011-03-29,-2.5562
2011-04-05,-4.1892
2011-04-13,-4.2965
2011-04-15,-1.0387
2011-04-19,-3.7894
2011-05-04,-11.557
2011-05-12,-7.1712
2011-05-19,-11.2613
2011-05-26,4.3909
2011-06-08,19.7423
2011-06-13,-4.6701
2011-06-15,-19.9148
2011-06-20,11.4894
2011-06-21,8.3015
2011-06-30,28.5132
2011-07-01,5.4418
2011-07-06,-6.3719
2011-07-21,0.0
2011-07-22,11.8056
2011-07-25,4.3478
2011-07-26,-12.1429
2011-07-27,-0.271
2011-08-02,4.8913
2011-08-03,-0.9067
2011-08-04,-2.7288
2011-08-05,-5.2579
2011-08-24,-14.6099
2011-08-29,-3.6545
2011-09-02,-2.2414
2011-09-06,-2.9981999999999998
2011-09-12,-23.8523
2011-09-15,19.3852
2011-09-26,-10.4
2011-09-27,0.3348
2011-09-30,-25.876
2011-10-03,3.9955
2011-10-04,-8.0808
2011-10-12,22.449
2011-10-13,-20.5128
2011-10-14,14.879
2011-10-20,-1.7199
2011-10-24,4.8214
2011-11-10,31.6525
2011-11-14,0.2459
2011-11-15,-1.2779
2011-11-16,-4.8117
2011-11-29,-28.4615
2011-11-30,0.9793
2011-12-05,18.6537
2011-12-12,-14.8718
2011-12-15,4.5181000000000004
2011-12-19,-25.5944
2011-12-20,-0.4599
2011-12-30,-11.9163
2012-01-09,15.7372
2012-01-17,3.8167999999999997
2012-01-18,-8.5248
2012-01-26,-7.159
2012-01-30,9.0909
2012-01-31,9.5238
2012-02-01,-1.087
2012-02-21,-12.4542
2012-02-22,23.8494
2012-03-01,-11.824300000000001
2012-03-02,-4.2146
2012-03-05,-4.0
2012-03-14,-17.1615
2012-03-15,-4.9356
2012-03-21,-12.1693
2012-03-23,0.3765
2012-04-04,-4.8762
2012-04-05,-2.8391
2012-04-09,27.9221
2012-04-10,-2.0305
2012-04-11,15.3821
2012-04-12,-8.1111
2012-04-13,18.2651
2012-04-16,2.0661
2012-04-17,0.8097
2012-04-19,-9.9147
2012-04-20,2.5355
2012-04-23,-11.3043
2012-04-26,-8.8235
2012-04-27,18.2796
2012-04-30,5.0
2012-05-01,-4.7619
