ticker,MCELQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-08-09,0.0
2000-08-10,0.0
2000-08-11,-1.25
2000-08-14,-1.2658
2000-08-15,-2.2436
2000-08-16,-16.0656
2000-08-17,-3.125
2000-08-18,-2.4194
2000-08-21,7.438
2000-08-22,4.6154
2000-08-23,-2.9412000000000003
2000-08-24,-2.2727
2000-08-25,-5.4264
2000-08-28,5.7377
2000-08-29,10.8527
2000-08-30,4.8951
2000-08-31,4.0
2000-09-01,6.4103
2000-09-05,7.2289
2000-09-06,-8.9888
2000-09-07,-4.321
2000-09-08,-1.2903
2000-09-11,27.451
2000-09-12,35.3846
2000-09-13,8.3333
2000-09-14,-8.3916
2000-09-15,35.8779
2000-09-18,2.5281000000000002
2000-09-19,-6.0274
2000-09-20,6.1224
2000-09-21,-1.0989
2000-09-22,-8.6111
2000-09-25,-4.2553
2000-09-26,21.9048
2000-09-27,-8.5938
2000-09-28,3.7037
2000-09-29,-2.4725
2000-10-02,-3.662
2000-10-03,-4.0936
2000-10-04,3.6585
2000-10-05,-5.2941
2000-10-06,-20.8075
2000-10-09,-3.5294
2000-10-10,2.8455
2000-10-11,-7.5099
2000-10-12,11.9658
2000-10-13,15.6489
2000-10-16,-4.868
2000-10-17,-7.719
2000-10-18,-7.1429
2000-10-19,6.4777000000000005
2000-10-20,-7.2243
2000-10-23,7.377
2000-10-24,-3.0534
2000-10-25,0.0
2000-10-26,0.0
2000-10-27,1.5748
2000-10-30,26.7442
2000-10-31,-6.422
2000-11-01,2.6144
2000-11-02,7.3248
2000-11-03,10.089
2000-11-06,-5.1213
2000-11-07,-0.5682
2000-11-08,-3.1429
2000-11-09,-3.2448
2000-11-10,-7.0122
2000-11-13,-13.4426
2000-11-14,3.2197
2000-11-15,-7.7982
2000-11-16,-6.8657
2000-11-17,2.5641
2000-11-20,-14.5833
2000-11-21,4.878
2000-11-22,-6.9767
2000-11-24,16.5
2000-11-27,-3.0043
2000-11-28,-15.0442
2000-11-29,-9.375
2000-11-30,-12.6437
2000-12-01,14.473700000000001
2000-12-04,0.5747
2000-12-05,13.1429
2000-12-06,14.1414
2000-12-07,-17.6991
2000-12-08,12.9032
2000-12-11,-0.9524
2000-12-12,-1.9231
2000-12-13,-14.2157
2000-12-14,0.5714
2000-12-15,-9.0909
2000-12-18,-5.0
2000-12-19,-8.5526
2000-12-20,0.7194
2000-12-21,-11.4286
2000-12-22,3.2258
2000-12-26,9.375
2000-12-27,3.5714
2000-12-28,10.3448
