ticker,EFSG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-11,-7.6923
2000-02-14,11.1111
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,-5.0
2000-02-18,2.6316
2000-02-23,2.5641
2000-02-24,0.0
2000-02-28,-5.0
2000-03-14,5.2632
2000-03-29,-17.5
2000-04-03,21.2121
2000-04-06,5.0
2000-05-03,-4.7619
2000-05-18,0.0
2000-06-07,-10.0
2000-06-21,9.7222
2000-09-13,-17.7215
2000-10-11,20.0
2000-11-22,-16.6667
2000-11-28,-13.8462
2000-12-06,-3.5714
2000-12-08,-9.2593
2000-12-13,-10.2041
2000-12-26,13.6364
2000-12-29,16.0
2001-01-11,3.4483
2001-01-12,0.0
2001-01-16,-3.3333
2001-01-24,8.6207
2001-02-02,4.7619
2001-02-15,4.5455
2001-03-07,-30.4348
2001-03-12,25.0
2001-03-22,-6.6667
2001-03-23,0.0
2001-04-02,0.0
2001-04-06,7.1429
2001-04-09,0.0
2001-04-10,-6.6667
2001-05-03,0.0
2001-05-04,7.1429
2001-05-07,1.6
2001-05-08,-1.5748
2001-05-14,0.0
2001-05-15,-6.6667
2001-05-29,7.1429
2001-06-12,-6.6667
2001-06-22,28.5714
2001-06-27,-22.2222
2001-06-28,-6.4286
2001-07-25,12.9771
2001-08-03,1.3514
2001-08-14,0.0
2001-08-15,0.0
2001-08-21,20.0
2001-08-31,0.0
2001-09-04,-25.0
2001-09-06,-3.7037
2001-09-10,0.0
2001-11-23,53.8462
2001-11-29,-2.5
2001-12-10,0.0
2001-12-21,-24.6154
2001-12-24,0.0
2001-12-31,0.0
2002-01-17,2.0408
2002-01-28,12.0
2002-02-01,7.1429
2002-02-08,-16.6667
2002-02-20,20.0
2002-03-21,8.3333
2002-03-25,-7.6923
2002-03-26,0.0
2002-05-28,-5.0
2002-05-29,5.2632
2002-06-12,5.5556
2002-06-20,-0.5263
2002-06-27,3.1746
2002-06-28,0.0
2002-07-03,-2.5641
2002-07-12,15.7895
2002-07-24,-13.6364
2002-08-26,14.2105
2002-08-27,-7.3733
2002-08-29,-3.9801
2002-09-03,2.0725
2002-09-04,0.0
2002-09-20,6.599
2002-09-23,-6.6667
2002-09-24,2.551
2002-09-26,-4.9751
2002-10-08,6.2827
2002-10-09,0.9852
2002-10-10,-3.6585
2002-10-17,0.0506
2002-10-24,0.0
2002-10-29,-1.8218999999999999
2002-11-19,5.1546
2002-12-10,-4.902
2002-12-11,-2.0619
2002-12-12,2.6316
