ticker,VBTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-05,10.0
2000-01-20,0.0
2000-01-27,-27.2727
2000-02-02,-43.75
2000-02-09,0.0
2000-02-28,0.0
2000-03-02,-44.4444
2000-03-27,300.0
2000-03-30,-60.0
2000-04-05,0.0
2000-04-06,162.5
2000-04-07,4.7619
2000-04-18,-54.5455
2000-05-04,70.0
2000-05-11,0.0
2000-06-22,-11.7647
2000-06-26,-20.0
2000-07-05,-4.1667
2000-07-06,-17.3913
2000-07-11,-5.2632
2000-07-12,0.0
2000-07-14,-8.3333
2000-07-17,0.0
2000-07-20,-48.4848
2000-07-21,41.1765
2000-07-27,16.6667
2000-07-28,0.0
2000-07-31,-14.2857
2000-08-01,16.6667
2000-08-03,-50.0
2000-08-07,28.5714
2000-08-11,11.1111
2000-08-14,20.0
2000-08-15,-16.6667
2000-08-16,0.0
2000-08-30,-5.0
2000-08-31,-5.2632
2000-09-01,5.5556
2000-09-05,-15.7895
2000-09-18,12.5
2000-09-21,-11.1111
2000-09-22,0.0
2000-10-09,12.5
2000-10-17,-16.6667
2000-10-20,6.6667
2000-10-24,-31.25
2000-11-01,118.1818
2000-11-02,16.6667
2000-11-03,-7.1429
2000-11-06,-7.6923
2000-11-07,0.0
2000-11-08,-4.1667
2000-11-09,-4.3478
2000-11-10,18.1818
2000-11-21,15.3846
2000-11-22,-6.6667
2000-11-27,0.0
2000-11-30,-14.2857
2000-12-04,0.0
2000-12-06,-4.1667
2000-12-07,4.3478
2000-12-08,0.0
2000-12-11,0.0
2000-12-15,0.0
2000-12-18,-20.8333
2000-12-20,-10.526299999999999
2000-12-21,5.8824
2001-01-02,-11.1111
2001-01-05,12.5
2001-01-09,38.8889
2001-01-10,0.0
2001-01-11,4.0
2001-01-12,24.3077
2001-01-16,2.104
2001-01-17,3.0303
2001-01-18,0.0
2001-01-19,0.0
2001-01-23,5.8824
2001-01-24,-16.6667
2001-01-25,-13.3333
2001-01-29,-3.8462
2001-01-30,28.0
2001-01-31,-12.5
2001-02-01,7.1429
2001-02-02,6.6667
2001-02-05,-6.25
2001-02-06,3.3333
2001-02-07,0.0
2001-02-09,-22.5806
2001-02-12,8.3333
2001-02-14,7.6923
2001-02-16,14.2857
2001-02-23,-6.25
2001-02-26,6.6667
2001-02-27,-6.25
2001-02-28,6.6667
2001-03-01,-12.5
2001-03-02,7.1429
2001-03-05,-6.6667
2001-03-09,-7.1429
2001-03-13,-7.6923
2001-03-14,-12.5
