ticker,FUTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-10-19,-60.0
2001-10-30,0.0
2003-05-15,-50.0
2003-12-18,500.0
2004-01-05,236.6667
2004-01-09,0.0
2004-01-14,68.3168
2004-01-15,17.647100000000002
2004-01-16,-5.0
2004-01-27,-15.7895
2004-01-28,-3.125
2004-01-30,0.0
2004-02-13,-32.2581
2004-02-18,52.381
2004-02-19,0.0
2004-02-20,-6.25
2004-02-23,10.0
2004-02-24,0.0
2004-02-25,-0.6061
2004-02-27,9.7561
2004-03-04,-2.7778
2004-03-08,-14.2857
2004-03-10,13.3333
2004-03-15,0.0
2004-03-23,-5.8824
2004-03-26,-6.25
2004-04-13,0.0
2004-04-21,-2.0
2004-04-23,2.7211
2004-04-26,-0.6623
2004-05-04,-3.3333
2004-05-06,3.4483
2004-05-07,6.6667
2004-05-10,-9.375
2004-05-12,0.0
2004-05-14,3.4483
2004-05-18,-3.3333
2004-05-19,6.2069
2004-05-27,-5.8442
2004-05-28,0.0
2004-06-01,3.4483
2004-06-04,-3.3333
2004-06-25,3.4483
2004-07-02,2.0
2004-07-13,0.0
2004-07-15,-1.9607999999999999
2004-07-16,3.3333
2004-07-19,-6.4516
2004-07-20,11.7241
2004-07-21,-4.321
2004-07-23,6.4516
2004-07-26,-6.6667
2004-07-27,1.2987
2004-07-28,-0.641
2004-07-29,-1.9355
2004-07-30,0.0
2004-08-03,5.2632
2004-08-04,-3.75
2004-08-06,-1.2987
2004-08-10,3.9474
2004-08-11,1.2658
2004-08-13,0.0
2004-08-16,-5.0
2004-08-18,3.9474
2004-08-19,1.2658
2004-08-24,0.0
2004-08-25,0.0
2004-08-26,-5.0
2004-08-31,0.0
2004-09-02,0.0
2004-09-03,1.9737
2004-09-07,-3.2258
2004-09-08,3.3333
2004-09-10,0.0
2004-09-13,-3.2258
2004-09-14,0.0
2004-09-15,1.3333
2004-09-20,0.0
2004-09-21,-5.9211
2004-09-27,1.3986
2004-09-29,0.0
2004-10-14,-2.069
2004-10-18,-1.4085
2004-10-19,7.1429
2004-10-20,0.0
2004-10-21,0.0
2004-10-22,5.3333
2004-10-25,1.2658
2004-10-26,-2.5
2004-10-27,-3.8462
2004-10-28,-0.6667
2004-10-29,0.6711
2004-11-01,6.6667
2004-11-02,-4.375
2004-11-03,-1.9607999999999999
2004-11-05,-0.6667
2004-11-08,0.0
2004-11-09,4.0268
2004-11-10,-5.1613
2004-11-11,0.0
2004-11-15,4.0816
2004-11-16,-2.6144
