ticker,MDXL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-01-17,18.8235
2003-01-21,3.9604
2003-01-22,0.0
2003-01-27,0.0
2003-02-04,0.0
2003-02-13,-80.7619
2003-02-18,18.8119
2003-02-19,-16.6667
2003-02-20,1.0
2003-02-21,0.0
2003-02-24,419.802
2003-02-25,0.0
2003-02-27,4.7619
2003-02-28,0.0
2003-03-03,0.0
2003-03-05,-9.0909
2003-03-06,10.0
2003-03-07,0.0
2003-03-10,-4.5455
2003-03-11,4.7619
2003-03-12,-4.5455
2003-03-13,0.0
2003-03-14,0.0
2003-03-17,0.0
2003-03-20,0.0
2003-03-21,0.0
2003-03-24,-4.7619
2003-03-26,0.0
2003-03-27,4.0
2003-03-28,-3.8462
2003-03-31,0.0
2003-04-01,5.0
2003-04-03,-66.6667
2003-04-11,-41.7143
2003-04-14,390.1961
2003-05-05,-70.0
2003-05-14,0.0
2003-06-06,-32.0
2003-06-17,0.0
2003-06-19,-0.9804
2003-06-20,-59.4059
2003-06-23,168.2927
2003-06-26,-62.7273
2003-06-27,168.2927
2003-06-30,0.0
2003-07-02,36.3636
2003-08-05,-16.6667
2003-08-08,28.0
2004-03-17,-80.9375
2004-03-18,359.0164
2004-03-24,0.0
2004-04-07,-3.5714
2004-04-08,-62.5926
2004-04-12,18.8119
2004-04-14,4.1667
2004-04-15,124.0
2004-04-20,-63.9286
2004-04-21,0.0
2004-04-22,0.0
2004-04-23,0.0
2004-05-12,-38.6139
2004-05-13,0.0
2004-05-18,0.0
2004-05-19,-17.7419
2004-05-21,31.3725
2004-05-26,-2.9851
2004-05-27,-3.0769
2004-05-28,-36.5079
2004-06-01,152.5
2004-06-15,-40.5941
2004-06-16,0.0
2004-06-18,-25.0
2004-06-22,-8.8889
2004-06-23,0.0
2004-06-30,-36.5854
2004-07-19,-3.8462
2004-07-22,0.0
2004-07-26,-20.0
2004-12-31,-25.0
2005-03-11,100.0
2005-03-15,0.0
2005-04-06,-66.6667
2005-04-26,0.0
2005-08-08,0.0
2005-08-09,-40.0
2005-08-10,-16.6667
2005-08-17,-30.0
2005-08-18,-14.2857
2005-08-24,-33.3333
2006-04-25,-15.0
2006-07-25,17.647100000000002
2006-11-08,0.0
2006-12-21,0.0
2007-04-10,-15.0
2007-07-27,0.0
2007-11-19,-11.7647
2007-11-21,0.0
2007-12-03,33.3333
2007-12-10,0.0
2007-12-13,-10.0
2007-12-18,-44.4444
2008-01-16,-70.0
2008-08-01,0.0
2008-10-14,0.0
