ticker,AVOGF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-27,-5.8824
2010-10-05,14.0625
2010-10-26,0.0
2010-12-30,2.7397
2011-01-03,-6.6667
2011-01-05,14.2857
2011-01-11,-5.0
2011-01-12,-2.6316
2011-01-19,-0.6757
2011-01-24,-4.7619
2011-02-03,-16.4286
2011-02-09,19.6581
2011-02-11,-11.4286
2011-02-15,4.8387
2011-02-18,1.5385
2011-02-25,0.0
2011-03-02,-15.1515
2011-03-22,10.7143
2011-03-28,6.4516
2011-03-29,-2.2727
2011-04-04,14.7287
2011-04-05,0.0
2011-04-11,-5.4054
2011-04-14,6.4286
2011-04-15,-2.0134
2011-04-19,2.7397
2011-04-25,0.0
2011-05-03,-1.3333
2011-05-04,0.0
2011-05-05,-9.4595
2011-05-11,7.4627
2011-05-25,-10.4167
2011-06-07,8.5271
2011-06-08,-2.8571
2011-06-10,-5.8824
2011-06-13,0.0
2011-06-14,1.5625
2011-06-15,-9.2308
2011-06-20,10.1695
2011-06-21,-3.8462
2011-06-22,-10.4
2011-06-23,12.5
2011-06-24,0.0
2011-06-27,-16.6667
2011-07-05,20.0
2011-07-06,-3.1746
2011-07-07,4.918
2011-07-08,1.5625
2011-07-11,-4.6154
2011-07-19,4.8387
2011-07-20,-12.3077
2011-07-21,20.1754
2011-07-26,-0.7299
2011-08-03,-10.2941
2011-08-04,-14.7541
2011-08-05,-3.8462
2011-08-10,-8.0
2011-08-12,18.4783
2011-08-26,-16.5138
2011-09-02,9.8901
2011-09-06,1.0
2011-09-12,-30.6931
2011-09-13,14.2857
2011-09-19,12.5
2011-09-29,-11.1111
2011-10-21,25.0
2011-11-21,2.0
2011-12-09,17.647100000000002
2011-12-12,3.3333
2011-12-22,-9.6774
2011-12-23,16.0714
2011-12-28,4.6154
2011-12-29,-15.4412
2012-01-06,21.7391
2012-01-09,0.0
2012-01-10,-1.4285999999999999
2012-01-17,-1.4493
2012-01-25,5.8824
2012-01-26,-2.7778
2012-02-02,-7.1429
2012-03-13,-12.3077
2012-03-20,12.2807
2012-04-17,9.375
2012-04-18,-7.1429
2012-04-27,13.0769
2012-04-30,-6.1224
2012-05-02,-4.3478
2012-06-25,4.5455
2012-06-26,-14.4928
2012-07-31,-26.2712
2012-08-16,-5.7471
2012-09-11,19.5122
2012-10-17,18.3673
2012-10-22,10.3448
2012-11-02,-3.125
2012-11-06,9.6774
2012-11-07,-19.1176
2012-11-26,9.0909
2012-11-28,0.8333
2012-12-07,49.5868
