ticker,RDEGF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,2.1875
2000-01-05,3.6696999999999997
2000-01-06,14.4543
2000-01-07,22.1649
2000-01-10,-3.1646
2000-01-11,-10.8932
2000-01-12,-1.956
2000-01-13,-5.7357
2000-01-14,14.5503
2000-01-17,0.0
2000-01-18,5.7737
2000-01-19,-9.9345
2000-01-20,51.0303
2000-01-21,-25.3612
2000-01-24,1.0753
2000-01-25,3.1915
2000-01-26,14.433
2000-01-27,8.1081
2000-01-28,-4.3333
2000-01-31,-3.6585
2000-02-01,-6.8716
2000-02-02,7.3786
2000-02-03,1.2658
2000-02-07,-4.0179
2000-02-08,11.6279
2000-02-09,-2.6667
2000-02-10,-0.8562
2000-02-11,2.9361
2000-02-14,6.9631
2000-02-15,-5.7255
2000-02-16,-5.1581
2000-02-17,3.0702
2000-02-18,-7.234
2000-02-21,0.0
2000-02-22,-6.2385
2000-02-23,2.544
2000-02-24,-1.5267
2000-02-25,-0.3876
2000-02-28,10.9922
2000-02-29,-3.7686
2000-03-01,1.0929
2000-03-02,-0.1802
2000-03-03,-3.4295999999999998
2000-03-06,2.8037
2000-03-07,-4.5455
2000-03-08,0.0
2000-03-09,-4.7619
2000-03-10,0.6
2000-03-13,4.3738
2000-03-14,-4.381
2000-03-15,2.3904
2000-03-16,-4.6693
2000-03-20,-6.7347
2000-03-21,-20.1313
2000-03-22,-11.7808
2000-03-23,1.8634
2000-03-24,22.904
2000-03-27,9.1473
2000-03-28,-6.8182
2000-03-29,1.2195
2000-03-30,0.0
2000-03-31,-7.2289
2000-04-03,-8.8312
2000-04-04,6.8376
2000-04-05,-7.4667
2000-04-06,8.0692
2000-04-07,-3.4667
2000-04-10,0.0
2000-04-11,-0.5525
2000-04-12,-4.1667
2000-04-13,2.8986
2000-04-14,-5.6338
2000-04-17,-3.8806000000000003
2000-04-18,-0.6211
2000-04-19,1.5625
2000-04-25,-4.3077
2000-04-26,4.1801
2000-04-28,-4.6296
2000-05-01,4.5306999999999995
2000-05-08,-7.4303
2000-05-15,-3.01
2000-05-23,-8.9655
2000-05-24,-3.4091
2000-05-26,0.7843
2000-05-30,-16.7315
2000-05-31,-5.6075
2000-06-01,2.9703
2000-06-02,11.538499999999999
2000-06-05,1.5086
2000-06-07,-0.2123
2000-06-08,-1.2766
2000-06-09,-2.5862
2000-06-12,3.0973
2000-06-13,7.2961
2000-06-14,0.0
2000-06-19,16.8
2000-06-20,-1.5411000000000001
2000-06-21,23.913
