ticker,SLLN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-11-29,-50.0
2000-12-01,-50.0
2000-12-07,-20.0
2000-12-08,-2.0
2000-12-11,2.0408
2000-12-12,6.0
2000-12-13,0.0
2000-12-22,-10.3774
2000-12-27,-21.0526
2000-12-28,0.0
2000-12-29,1.3333
2001-01-11,1.3158
2001-02-01,-2.5974
2001-02-08,0.0
2001-02-12,6.6667
2001-02-13,-12.5
2001-02-20,-2.8571
2001-02-26,-11.7647
2001-02-28,5.0
2001-03-23,-12.6984
2001-03-27,0.0
2001-03-28,0.0
2001-04-18,0.0
2001-06-12,3.6364
2001-07-05,0.0
2001-07-25,1.7544
2001-08-16,-5.1724
2001-08-31,9.0909
2001-09-04,0.0
2001-09-05,-8.3333
2001-10-08,-9.0909
2001-10-09,2.0
2001-12-07,-31.3725
2002-01-10,-17.1429
2002-01-11,-31.0345
2002-07-11,25.0
2002-07-18,0.0
2002-08-30,0.0
2002-09-23,4.0
2002-11-19,-57.6923
2003-06-20,190.9091
2003-06-25,56.25
2003-06-30,-20.0
2003-07-01,11.875
2003-07-07,34.0782
2003-07-08,-15.0
2003-07-09,0.0
2003-07-11,-5.8824
2003-07-14,2.0833
2003-07-21,-8.1633
2003-07-22,-5.5556
2003-07-23,1.1764999999999999
2003-07-24,0.0
2003-07-25,9.3023
2003-07-28,-4.2553
2003-07-29,11.1111
2003-07-31,-10.0
2003-08-01,11.1111
2003-08-05,2.0
2003-08-13,27.451
2003-08-14,7.6923
2003-08-15,-2.8571
2003-08-20,-2.9412000000000003
2003-08-21,6.0606
2003-08-22,0.0
2003-08-25,-1.4285999999999999
2003-08-26,0.0
2003-08-27,-8.6957
2003-08-29,3.1746
2003-09-02,7.6923
2003-09-03,4.2857
2003-09-04,-4.1096
2003-09-05,2.8571
2003-09-08,-1.3889
2003-09-09,-8.4507
2003-09-11,0.0
2003-09-12,0.0
2003-09-18,-3.0769
2003-09-19,-1.5873
2003-09-23,-1.6129
2003-09-25,-6.5574
2003-09-29,-3.9474
2003-09-30,0.4566
2003-10-03,9.0909
2003-10-07,-6.6667
2003-10-08,-1.7856999999999998
2003-10-10,0.0
2003-10-14,-7.2727
2003-10-16,-1.9607999999999999
2003-10-17,0.0
2003-10-20,0.0
2003-10-21,0.0
2003-10-30,0.0
2003-11-03,-4.0
2003-11-07,0.0
2003-11-12,4.1667
2003-11-14,-6.0
2003-11-17,0.0
2003-11-18,6.383
2003-11-20,-4.0
2003-11-24,0.0
