ticker,IVDN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-10-30,0.0
2003-11-05,0.0
2003-11-18,0.0
2003-11-24,0.0
2003-11-25,-11.6667
2003-11-26,-24.5283
2003-12-01,-5.0
2003-12-02,47.3684
2003-12-04,-17.8571
2003-12-09,26.087
2003-12-15,-23.4483
2003-12-16,1.3514
2003-12-17,-4.4444
2003-12-30,11.6279
2003-12-31,-16.6667
2004-01-02,0.0
2004-01-05,2.5
2004-01-06,-2.439
2004-01-07,-10.0
2004-01-08,0.0
2004-01-09,-11.1111
2004-01-12,9.375
2004-01-13,-37.1429
2004-01-14,54.5455
2004-01-15,29.4118
2004-01-16,-11.3636
2004-01-20,-33.3333
2004-01-21,1.5385
2004-01-23,28.7879
2004-01-26,-21.7647
2004-01-27,1.5038
2004-01-28,11.1111
2004-01-29,-13.3333
2004-01-30,3.8462
2004-02-02,-7.4074
2004-02-03,20.0
2004-02-04,-20.0
2004-02-05,-2.5
2004-02-06,6.8376
2004-02-09,0.0
2004-02-10,-10.4
2004-02-11,25.0
2004-02-12,0.0
2004-02-13,3.5714
2004-02-17,3.4483
2004-02-18,-6.6667
2004-02-19,-14.2857
2004-02-20,8.3333
2004-02-23,-19.2308
2004-02-24,4.7619
2004-02-25,0.0
2004-02-26,27.2727
2004-02-27,4.2857
2004-03-01,2.7397
2004-03-02,16.6667
2004-03-03,-2.8571
2004-03-04,0.0
2004-03-05,2.9412000000000003
2004-03-08,2.8571
2004-03-09,-5.5556
2004-03-10,-2.9412000000000003
2004-03-11,-0.6061
2004-03-12,-8.5366
2004-03-16,-26.6667
2004-03-17,13.6364
2004-03-18,8.0
2004-03-19,-11.1111
2004-03-22,12.5
2004-03-24,-7.4074
2004-03-25,-12.0
2004-03-26,4.5455
2004-03-29,-4.3478
2004-03-30,-4.5455
2004-03-31,10.4762
2004-04-02,3.4483
2004-04-05,20.8333
2004-04-06,-3.4483
2004-04-07,-10.7143
2004-04-08,-3.2
2004-04-12,3.3058
2004-04-14,-3.2
2004-04-15,-0.8264
2004-04-16,0.0
2004-04-19,-4.1667
2004-04-20,-11.3043
2004-04-22,17.647100000000002
2004-04-23,-4.1667
2004-04-26,-4.3478
2004-04-27,9.0909
2004-04-29,-1.6667
2004-05-04,0.0
2004-05-05,0.8475
2004-05-06,4.2017
2004-05-07,-1.6129
2004-05-10,-1.6393
2004-05-11,0.0
2004-05-12,-4.1667
2004-05-13,-12.1739
2004-05-17,-10.8911
2004-05-18,5.5556
