ticker,VSTCQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-22,100.0
2000-10-17,25.0
2000-11-08,-20.0
2000-11-10,3.125
2000-11-13,287.8788
2000-11-14,50.0
2000-11-15,1.0417
2000-11-16,-17.5258
2000-11-20,30.0
2000-11-21,-0.9615
2000-11-22,16.5049
2000-11-24,-6.25
2000-11-27,0.0
2000-11-28,13.7778
2000-11-29,0.3906
2000-11-30,8.9494
2000-12-01,2.8571
2000-12-04,2.7778
2000-12-05,-2.3649
2000-12-07,32.872
2000-12-08,4.1667
2000-12-20,1.0
2001-01-12,-3.9604
2001-01-26,-9.2784
2001-02-06,1.1364
2001-02-13,0.0
2001-02-14,0.0
2001-02-15,-9.5506
2001-02-16,9.3168
2001-02-28,9.0909
2001-03-06,-24.4792
2001-03-07,43.4483
2001-03-08,-7.6923
2001-03-09,-4.1667
2001-03-12,-8.6957
2001-03-13,14.2857
2001-03-28,-8.3333
2001-04-30,9.0909
2001-05-10,16.6667
2001-05-16,-28.5714
2001-05-17,90.0
2001-05-21,0.0
2001-05-30,31.5789
2001-06-01,20.0
2001-06-12,-32.5
2001-06-14,-16.0494
2001-07-05,-40.2941
2001-09-24,-1.3793
2001-09-25,1.3986
2001-12-14,-65.5172
2001-12-31,71.4286
2002-01-14,16.6667
2002-01-17,-14.2857
2002-01-23,4.1667
2002-01-31,5.92
2002-06-11,-39.577
2002-06-27,-25.0
2002-08-19,-33.3333
2002-09-24,425.0
2002-09-25,-16.6667
2002-09-27,14.2857
2002-09-30,10.0
2002-10-23,0.0
2002-10-31,-4.5455
2002-11-19,0.0
2002-12-31,4.7619
2003-01-03,9.0909
2003-03-05,-6.25
2003-03-06,-20.0
2003-03-10,22.2222
2003-03-17,0.0
2003-03-21,-6.8182
2003-03-26,2.439
2003-04-02,4.7619
2003-04-04,-9.0909
2003-04-07,0.0
2003-05-07,0.0
2003-08-06,-69.0
2003-08-19,-1.6129
2003-11-21,-26.2295
2003-11-26,-11.1111
2004-01-16,-35.0
2004-03-31,-60.7692
2004-11-08,194.1176
2005-03-14,366.6667
2005-03-23,-42.8571
2005-10-14,1.25
2005-10-17,11.1111
2005-10-18,3.3333
2005-10-21,-3.4409
2005-10-24,0.0
2005-10-26,3.3407999999999998
2005-10-27,1.0776
2005-10-28,4.2644
2005-10-31,1.8405
2005-11-01,2.8112
2005-11-02,2.5391
2005-11-03,6.2857
2005-11-04,14.5161
2005-11-07,5.6338
2005-11-08,7.4074
2005-11-09,0.0
