ticker,TELLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-03-06,-70.4545
2004-08-03,-46.1538
2005-11-15,57.1429
2005-11-22,-9.0909
2006-02-15,-20.0
2006-03-14,62.5
2006-03-16,0.0
2006-03-28,7.6923
2006-04-04,32.1429
2006-04-05,-9.8649
2006-04-27,106.2969
2006-04-28,-1.1628
2006-05-01,-29.4118
2006-05-02,-29.1667
2006-05-03,5.8824
2006-05-10,55.5556
2006-05-31,-2.1429
2006-06-02,16.7883
2006-06-05,-13.125
2006-06-06,-6.4748
2006-06-09,-12.3077
2006-06-14,14.3092
2006-06-19,15.1079
2006-06-22,-26.6667
2006-06-26,31.8182
2006-07-07,-3.4483
2006-07-10,8.5714
2006-07-11,1.3158
2006-07-12,-2.5974
2006-07-13,3.6667
2006-07-17,-4.1801
2006-07-18,-6.0403
2006-07-20,0.0
2006-07-25,-7.1429
2006-08-02,-5.3846
2006-08-15,-1.8801
2006-09-20,16.0021
2006-09-27,-10.7143
2006-10-18,-28.0
2006-10-23,233.3333
2006-10-24,-15.9375
2006-10-26,14.9938
2006-10-27,6.8966
2006-10-30,19.3548
2006-10-31,-4.0541
2006-11-01,-7.1831
2006-11-03,15.7815
2006-11-06,-1.1796
2006-11-07,-9.4993
2006-11-08,13.7205
2006-11-09,15.4156
2006-11-10,13.6636
2006-11-13,-1.7682
2006-11-14,2.0
2006-11-15,8.5049
2006-11-17,6.7992
2006-11-20,-0.1692
2006-11-21,-16.2712
2006-11-22,4.251
2006-11-24,-33.9806
2006-11-28,47.0588
2006-11-29,13.6
2006-11-30,-15.493
2006-12-04,-7.6823
2006-12-06,9.4499
2006-12-07,-5.6443
2006-12-08,-4.944
2006-12-12,2.0402
2006-12-13,-3.1259
2006-12-14,0.7849
2006-12-15,0.9951
2006-12-19,9.296
2006-12-20,1.3849
2006-12-21,5.1546
2006-12-22,-9.8039
2006-12-27,-6.7391
2006-12-28,29.9534
2006-12-29,6.7937
2007-01-03,-17.6989
2007-01-04,20.0
2007-01-05,-1.6688
2007-01-08,-4.0104
2007-01-09,0.9009
2007-01-10,-3.2143
2007-01-11,3.321
2007-01-12,-5.3571
2007-01-16,8.4906
2007-01-17,-6.087
2007-01-18,7.4074
2007-01-19,3.2759
2007-01-22,-4.9457
2007-01-23,-6.3886
2007-01-24,6.9418
2007-01-25,-8.3991
2007-01-26,6.1049
2007-01-29,6.4982
2007-01-30,-0.8792
2007-01-31,-2.5329
2007-02-01,-4.1776
2007-02-02,-0.1602
