ticker,GBHL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-03-19,98.0392
2004-03-22,-40.5941
2004-06-18,68.3333
2004-07-20,0.0
2004-09-07,-4.9505
2004-09-14,-37.5
2004-09-15,66.6667
2004-09-30,-40.0
2004-10-06,50.0
2004-10-07,-11.1111
2004-10-08,-18.75
2004-10-12,23.0769
2004-10-13,12.5
2004-10-14,0.0
2004-10-18,-33.3333
2004-10-20,8.3333
2004-10-21,0.0
2004-10-22,0.0
2004-10-25,-7.6923
2004-10-26,65.0
2004-10-27,0.0
2004-10-28,-17.7778
2004-10-29,-25.6757
2004-11-01,18.1818
2004-11-04,-21.5385
2004-11-05,0.0
2004-11-16,7.8431
2004-11-22,-36.3636
2004-11-24,0.0
2004-12-01,0.0
2004-12-02,0.0
2004-12-06,-25.7143
2004-12-08,15.3846
2004-12-13,0.0
2004-12-15,0.0
2004-12-22,3.3333
2004-12-23,48.3871
2005-01-04,-2.1739
2005-01-07,0.0
2005-01-10,0.0
2005-01-13,-4.4444
2005-01-14,-18.6047
2005-01-18,0.0
2005-01-19,14.2857
2005-01-20,25.0
2005-01-21,16.0
2005-01-24,3.4483
2005-01-26,5.0
2005-01-27,0.0
2005-01-28,-3.1746
2005-01-31,1.6393
2005-02-01,-19.3548
2005-02-02,8.0
2005-02-03,0.0
2005-02-07,11.1111
2005-02-08,0.0
2005-02-09,-6.6667
2005-02-10,0.0
2005-02-11,5.3571
2005-02-14,18.6441
2005-02-15,0.0
2005-02-16,1.4285999999999999
2005-02-17,5.6338
2005-02-18,2.0
2005-02-22,17.647100000000002
2005-02-23,-5.5556
2005-02-24,2.3529
2005-02-25,-5.7471
2005-02-28,9.7561
2005-03-01,2.2222
2005-03-02,-1.087
2005-03-03,-4.3956
2005-03-04,-5.7471
2005-03-07,0.0
2005-03-08,2.439
2005-03-09,2.3810000000000002
2005-03-10,6.3953
2005-03-11,7.1038
2005-03-14,14.2857
2005-03-15,16.9643
2005-03-16,-7.6336
2005-03-17,-13.2231
2005-03-18,0.0
2005-03-21,-10.4762
2005-03-22,1.0638
2005-03-23,0.0
2005-03-24,-7.3684
2005-03-28,-9.0909
2005-03-29,6.25
2005-03-30,-1.1764999999999999
2005-03-31,-5.9524
2005-04-01,-11.3924
2005-04-04,11.4286
2005-04-05,-11.538499999999999
2005-04-06,-2.8986
2005-04-07,2.9851
2005-04-08,-2.8986
2005-04-11,-5.9701
2005-04-12,-9.5238
2005-04-13,-5.2632
2005-04-14,-18.5185
