ticker,BLMC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-28,-2.439
2000-03-16,-10.0
2000-03-24,18.5185
2000-03-27,4.6875
2000-03-30,-16.4179
2000-03-31,8.9286
2001-07-20,29.6928
2001-07-25,5.2632
2001-08-02,-2.5
2001-08-13,10.2564
2001-09-05,-6.9767
2001-10-02,0.0
2001-10-05,5.0
2001-10-25,19.0476
2001-11-05,-19.2
2001-11-06,4.9505
2002-03-20,24.2938
2002-04-16,27.2727
2003-04-22,36.3636
2003-07-23,88.8889
2003-07-28,1.9607999999999999
2003-08-05,13.461500000000001
2003-12-15,22.0339
2003-12-19,13.1944
2004-02-19,8.0519
2004-02-20,8.1731
2004-02-23,2.2222
2004-02-24,1.6303999999999998
2004-02-25,2.6738
2004-02-27,4.1667
2004-03-01,-2.0
2004-03-02,2.0408
2004-04-01,0.0
2004-04-02,0.0
2004-04-06,5.64
2004-04-07,2.234
2004-04-20,9.2593
2004-04-21,1.6949
2004-04-23,0.0
2004-06-07,25.913
2004-06-08,-0.2762
2004-06-14,12.1884
2004-06-17,35.8025
2004-06-18,12.7273
2004-06-22,-3.2258
2004-06-24,-10.0
2004-06-28,0.0
2004-06-29,12.037
2004-06-30,2.4793
2004-07-01,8.0645
2004-07-06,-2.9851
2004-07-12,10.7692
2004-07-15,-8.5714
2004-07-19,3.9063
2004-07-20,3.7594
2004-07-28,1.4493
2004-07-29,-2.8571
2004-07-30,-2.9412000000000003
2004-08-02,6.0606
2004-08-04,0.0
2004-08-05,-2.8571
2004-08-06,0.0
2004-08-09,0.7353
2004-08-10,0.0
2004-08-11,2.1898
2004-08-12,-5.0
2004-08-16,0.7519
2004-08-18,4.4776
2004-08-19,2.1429
2004-08-23,-0.6993
2004-08-26,7.0423
2004-08-27,0.0
2004-08-31,-2.6316
2004-09-09,-1.3514
2004-09-14,-1.3699
2004-09-15,4.1667
2004-09-22,-1.3599999999999999
2004-09-24,-2.0005
2004-09-28,4.8276
2004-09-29,2.6316
2004-09-30,0.0
2004-10-05,-1.2821
2004-10-06,1.2987
2004-10-07,1.2821
2004-10-08,3.1646
2004-10-12,-1.8405
2004-10-15,-2.5641
2004-10-18,0.0
2004-10-20,1.3158
2004-10-25,7.7922
2004-10-26,-4.8193
2004-10-29,-1.2658
2004-11-01,0.0
2004-11-03,0.641
2004-11-04,-0.6369
2004-11-10,-4.8974
2004-11-11,-5.2305
2004-11-15,3.8407
2004-11-22,-2.7397
2004-11-23,-1.2676
2004-11-24,0.0
