ticker,IMTO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-08,-4.5455
2007-01-10,-4.7619
2007-01-11,0.0
2007-01-12,25.0
2007-01-16,-16.0
2007-01-17,0.0
2007-01-19,0.0
2007-01-22,0.0
2007-01-24,0.0
2007-01-29,-4.7619
2007-02-01,0.0
2007-02-05,0.0
2007-02-06,0.0
2007-02-13,0.0
2007-02-15,-12.25
2007-02-23,-12.2507
2007-02-26,20.1299
2007-02-27,8.1081
2007-02-28,0.0
2007-03-29,0.0
2007-04-12,0.0
2007-04-13,-30.0
2007-04-16,7.1429
2007-04-17,0.0
2007-04-18,-3.3333
2007-04-23,0.0
2007-04-30,37.931
2007-05-15,-24.5
2007-05-18,25.8278
2007-05-21,-0.5263
2007-05-23,-4.7619
2007-05-31,11.1111
2007-06-21,-25.0
2007-06-28,25.3333
2007-06-29,6.383
2007-07-02,2.5
2007-07-09,-21.9512
2007-07-13,25.0
2007-07-24,-18.0
2007-07-27,-4.878
2007-07-30,25.0
2007-07-31,7.6923
2007-08-02,-4.7619
2007-08-06,0.0
2007-08-14,0.0
2007-08-31,-2.5
2007-09-04,-23.0769
2007-09-05,1.3333
2007-09-18,-1.3158
2007-09-19,24.6667
2007-09-26,-16.5775
2007-09-27,-0.641
2007-10-02,0.0
2007-10-03,0.0
2007-10-05,-3.2258
2007-10-17,-28.6667
2007-10-31,-43.9252
2007-11-09,41.6667
2007-11-13,-58.8235
2007-11-14,45.7143
2007-11-15,-11.7647
2007-11-27,-46.6667
2007-12-21,4.1667
2008-01-16,0.0
2008-01-23,0.0
2008-01-24,104.0
2008-01-25,0.0
2008-01-28,0.0
2008-02-21,-41.1765
2008-02-22,70.0
2008-03-14,-70.5882
2008-04-01,0.0
2008-04-04,226.6667
2008-04-10,2.0408
2008-05-08,-50.0
2008-06-03,0.0
2008-06-16,0.0
2008-06-17,100.0
2008-06-18,0.0
2008-07-03,0.0
2008-07-07,0.0
2008-07-08,0.0
2008-07-09,-4.0
2008-07-24,4.1667
2008-07-29,-10.0
2008-07-31,-2.2222
2008-08-18,0.0
2008-09-18,0.0
2008-10-02,-88.6364
2008-10-13,400.0
2008-10-14,0.0
2008-10-22,20.0
2008-11-10,-83.3333
2008-11-17,500.0
2008-11-20,-83.3333
2008-11-21,100.0
2008-12-01,0.0
2008-12-08,50.0
2008-12-10,0.0
2008-12-11,-93.3333
2008-12-17,300.0
2009-01-05,0.0
2009-01-08,100.0
2009-01-12,0.0
2009-01-14,150.0
