ticker,RENU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-23,-13.3333
2008-01-24,15.3846
2008-03-27,-32.0
2008-04-03,-11.7647
2008-05-23,124.4444
2008-06-02,0.0
2009-01-30,-70.297
2009-02-02,0.0
2009-02-12,-80.0
2009-04-14,0.0
2010-01-15,250.0
2010-01-19,-9.5238
2010-01-20,31.5789
2010-01-26,-56.0
2010-02-08,127.2727
2010-02-09,-76.0
2010-02-18,-16.6667
2010-03-01,0.0
2010-03-02,20.0
2010-03-03,0.0
2010-03-04,66.6667
2010-03-05,30.0
2010-03-08,7.6923
2010-03-09,7.1429
2010-03-10,0.0
2010-03-11,-13.3333
2010-03-12,23.0769
2010-03-15,0.0
2010-03-17,0.0
2010-03-18,0.0
2010-03-19,-6.25
2010-03-24,6.6667
2010-03-25,0.0
2010-03-29,-18.75
2010-04-14,23.0769
2010-04-16,-37.5
2010-04-26,-80.0
2010-04-27,450.0
2010-05-06,27.2727
2010-05-07,-3.5714
2010-05-14,-11.1111
2010-05-24,-58.3333
2010-05-25,120.0
2010-05-26,-22.7273
2010-05-27,-5.8824
2010-05-28,0.0
2010-06-01,0.0
2010-06-03,-12.5
2010-06-11,42.8571
2010-06-14,-40.0
2010-06-18,-16.6667
2010-06-21,20.0
2010-06-24,-25.0
2010-07-08,33.3333
2010-07-09,0.0
2010-07-15,16.6667
2010-07-22,-14.2857
2010-08-02,0.0
2010-08-03,-58.3333
2010-08-04,40.0
2010-08-06,42.8571
2010-08-10,0.0
2010-08-17,-38.0
2010-09-08,0.0
2010-09-09,12.9032
2010-09-10,-14.2857
2010-09-14,0.0
2010-09-21,0.0
2010-09-22,0.0
2010-09-24,0.0
2010-09-27,6.6667
2010-09-28,25.0
2010-09-29,0.0
2010-09-30,0.0
2010-10-01,-17.5
2010-10-04,0.0
2010-10-05,-9.0909
2010-10-07,-16.6667
2010-10-08,-8.0
2010-10-12,4.3478
2010-10-13,-12.5
2010-10-14,0.0
2010-10-18,-4.7619
2010-10-20,-15.0
2010-10-21,0.0
2010-10-22,41.1765
2010-10-25,-57.8125
2010-10-26,38.2716
2010-10-27,14.2857
2010-10-28,-28.125
2010-10-29,8.6957
2010-11-01,-20.0
2010-11-02,40.0
2010-11-03,-21.4286
2010-11-04,9.0909
2010-11-08,0.0
2010-11-11,0.0
2010-11-12,-8.3333
2010-11-15,0.0
2010-11-17,0.0
2010-11-19,9.0909
2010-11-22,-1.0417
2010-11-23,0.0
2010-11-24,1.0526
