ticker,HGRL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-12,34.6667
2008-02-13,1.9802
2008-02-14,0.0
2008-02-20,1.9417
2008-02-21,0.0
2008-02-27,0.0
2008-02-28,1.9048
2008-02-29,0.0
2008-03-18,-0.9346
2008-03-24,-0.9434
2008-03-25,0.0
2008-03-26,0.0
2008-03-27,0.0
2008-03-31,0.0
2008-04-03,-75.2381
2008-04-04,0.0
2008-04-07,15.3846
2008-04-08,-30.0
2008-04-18,-42.8571
2008-07-03,66.6667
2008-07-07,100.0
2008-07-08,0.0
2008-07-09,5.0
2008-07-10,4.7619
2008-07-11,-9.0909
2008-07-14,-12.5
2008-07-15,0.0
2008-07-16,-5.7143
2008-07-17,-12.1212
2008-07-18,-13.7931
2008-07-21,-28.0
2008-07-22,-16.6667
2008-07-23,-6.6667
2008-07-25,-35.7143
2008-07-28,0.0
2008-07-29,-33.3333
2008-07-30,50.0
2008-07-31,55.5556
2008-08-01,7.1429
2008-08-04,20.0
2008-08-05,-16.6667
2008-08-06,33.3333
2008-08-07,25.0
2008-08-08,0.0
2008-08-11,8.0
2008-08-12,-7.4074
2008-08-13,0.0
2008-08-14,8.0
2008-08-15,-7.4074
2008-08-18,8.0
2008-08-19,-3.7037
2008-08-20,0.0
2008-08-21,3.8462
2008-08-22,7.4074
2008-08-25,-13.7931
2008-08-26,-4.0
2008-08-27,0.0
2008-08-28,-8.3333
2008-08-29,0.0
2008-09-02,13.6364
2008-09-05,-20.0
2008-09-08,-5.0
2008-09-09,-10.526299999999999
2008-09-10,-38.2353
2008-09-11,61.9048
2008-09-15,-5.8824
2008-09-16,-50.0
2008-09-17,100.0
2008-09-18,12.5
2008-09-19,11.1111
2008-09-22,0.0
2008-09-23,20.0
2008-09-24,25.0
2008-09-25,0.0
2008-09-26,43.3333
2008-09-29,27.907
2008-09-30,18.1818
2008-10-01,0.0
2008-10-02,6.1538
2008-10-03,-5.7971
2008-10-06,6.1538
2008-10-07,-5.7971
2008-10-08,-3.0769
2008-10-09,1.5873
2008-10-10,4.6875
2008-10-13,-7.4627
2008-10-14,-3.2258
2008-10-15,11.6667
2008-10-16,-10.4478
2008-10-17,0.0
2008-10-20,-3.3333
2008-10-21,0.0
2008-10-22,17.2414
2008-10-23,-2.9412000000000003
2008-10-24,6.0606
2008-10-27,-1.4285999999999999
2008-10-28,-2.8986
2008-10-29,-2.9851
2008-10-30,-16.9231
2008-10-31,1.8519
2008-11-03,-9.0909
2008-11-05,-12.0
