ticker,KSBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-0.346
2000-03-08,0.4213
2000-04-19,-0.2797
2000-05-11,-3.5461
2000-05-15,0.0
2000-05-16,5.1471
2000-05-19,-3.4965
2000-05-23,0.3623
2000-05-24,0.0
2000-05-25,-0.361
2000-06-15,4.3478
2000-06-29,-25.0
2000-07-10,18.5185
2000-07-12,-15.625
2000-07-24,1.5038
2000-07-27,0.9259
2000-08-16,9.1743
2000-09-29,-5.8824
2000-10-09,16.0714
2000-10-11,-6.1538
2000-10-27,7.9734
2000-11-14,0.0
2000-11-29,4.6154
2000-12-15,0.7353
2000-12-27,-3.6496
2001-02-02,11.9632
2001-02-05,-12.3288
2001-02-07,0.0
2001-02-09,-2.3438
2001-02-20,0.0
2001-02-26,0.0
2001-03-07,0.8
2001-03-12,1.5873
2001-03-13,0.0
2001-03-14,0.0
2001-04-05,0.0
2001-04-16,-4.6875
2001-05-03,12.9568
2001-06-28,5.8824
2001-06-29,-2.7778
2001-07-09,-14.2857
2001-07-11,6.6667
2001-08-06,13.9241
2001-09-21,2.4306
2001-09-24,3.3898
2001-09-26,18.0328
2001-10-03,-8.3889
2001-10-29,-8.1445
2001-12-12,1.6667
2001-12-31,-0.3279
2002-01-02,-1.3158
2002-01-03,1.3333
2002-01-18,11.8421
2002-01-23,-3.5294
2002-02-13,1.9089
2002-03-01,0.0
2002-03-04,0.9063
2002-03-25,-4.1916
2002-04-04,0.0
2002-05-13,10.479800000000001
2002-05-20,2.8571
2002-06-20,-5.5556
2002-06-25,5.8824
2002-06-27,0.0
2002-07-05,0.0
2002-07-09,-3.8889
2002-07-11,4.0462
2002-07-15,-3.6111
2002-07-16,2.8818
2002-07-17,-2.8011
2002-07-18,1.7867
2002-07-19,-3.7143
2002-07-23,2.3739
2002-07-24,0.0
2002-07-26,-4.3478
2002-08-12,1.5152
2002-09-18,-0.2985
2002-09-30,-4.1916
2002-10-30,1.0101
2002-11-14,0.3125
2002-11-15,0.6231
2003-01-14,2.1672
2003-01-28,4.0392
2003-02-12,0.2941
2003-02-13,-0.2933
2003-02-26,0.0
2003-03-21,3.2353
2003-04-09,-1.4245
2003-04-10,0.289
2003-04-11,0.0
2003-04-15,3.7464
2003-05-09,-2.7466
2003-05-12,0.0
2003-05-22,0.0
2003-05-28,-0.5764
2003-06-11,1.4493
2003-06-12,0.0
2003-06-19,0.0
2003-06-23,-0.5714
2003-07-15,0.5747
2003-07-24,3.8062
2003-07-29,-1.3889
