ticker,XMTTF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-03,0.0
2010-12-06,5.6604
2011-01-10,15.7645
2011-01-13,-1.5907
2011-01-19,-0.4164
2011-01-20,-0.5657
2011-02-04,-4.8974
2011-02-10,19.1417
2011-02-11,0.764
2011-02-14,-3.4662
2011-02-15,-0.1795
2011-02-16,-1.5063
2011-02-17,0.1826
2011-02-18,-9.5238
2011-02-24,5.2883
2011-03-01,10.9782
2011-03-02,-2.4138
2011-03-03,-3.7102
2011-03-09,-7.156
2011-03-11,-8.8192
2011-03-15,-12.3815
2011-03-28,6.1224
2011-03-30,12.8205
2011-04-08,-16.6581
2011-04-11,0.9606
2011-04-15,-13.1369
2011-04-20,15.5477
2011-04-21,20.5505
2011-05-24,-35.7433
2011-05-31,-11.9621
2011-06-07,4.5291
2011-06-14,-11.4543
2011-07-07,-2.9554
2011-07-11,0.2496
2011-07-15,0.249
2011-07-25,2.5335
2011-07-26,-3.7791
2011-08-08,-4.3807
2011-08-18,-4.2654
2011-08-19,4.6205
2011-08-22,-4.1009
2011-08-23,-4.5504
2011-09-02,19.1269
2011-09-08,-4.0984
2011-09-09,10.8597
2011-12-02,-30.4308
2012-01-27,-8.7353
2012-01-30,-0.4286
2012-01-31,-5.5237
2012-02-01,9.3394
2012-02-02,-2.6389
2012-02-17,0.428
2012-02-29,-4.5455
2012-03-14,-5.9524
2012-03-15,-12.6582
2012-06-19,-17.3913
2012-07-30,-3.5088
2012-09-10,-10.9091
2012-10-09,62.5
2012-10-10,-6.4364
2012-10-17,16.7785
2012-10-19,-4.023
2012-11-09,-31.7365
2012-12-13,15.7895
2012-12-19,6.0606
2013-01-02,-1.4285999999999999
2013-01-09,-11.5942
2013-01-23,-34.4262
2013-04-05,-58.4375
2013-04-24,-9.7744
2013-04-25,-16.6667
2013-05-21,-4.0
2013-05-22,-16.6667
2013-05-31,50.0
2013-08-12,-55.4167
2013-10-16,49.5327
2013-10-28,46.25
2013-11-05,36.7521
2013-11-13,150.0
2013-11-15,0.0
2013-11-19,-13.25
2013-11-22,-0.8646
2013-12-04,42.2965
2013-12-05,15.4239
2013-12-06,-3.1858
2013-12-11,17.0018
2013-12-12,-1.25
2013-12-13,77.2152
2013-12-16,-1.9196
2013-12-17,-21.848
2013-12-19,-11.4735
2013-12-23,18.75
2013-12-24,3.8781
2013-12-26,0.96
2013-12-30,-2.7998
2013-12-31,0.0
2014-01-02,0.0
2014-01-03,9.5652
2014-01-06,29.365099999999998
