ticker,CLAR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,18.3712
2000-01-04,1.44
2000-01-05,8.4385
2000-01-06,2.4
2000-01-07,-9.5881
2000-01-10,-1.3354
2000-01-11,1.7516
2000-01-12,-13.6933
2000-01-13,1.8132000000000001
2000-01-14,-1.6919
2000-01-18,-2.0833
2000-01-19,6.198
2000-01-20,8.7979
2000-01-21,-3.763
2000-01-24,-2.8286
2000-01-25,-0.3425
2000-01-26,3.0928
2000-01-27,-1.4167
2000-01-28,-5.4945
2000-01-31,1.6995
2000-02-01,-4.4855
2000-02-02,-2.4862
2000-02-03,-10.8593
2000-02-04,-7.6271
2000-02-07,6.9954
2000-02-08,-3.0011
2000-02-09,20.1105
2000-02-10,8.5557
2000-02-11,11.9492
2000-02-14,-3.7093
2000-02-15,6.9969
2000-02-16,8.7436
2000-02-17,-8.1081
2000-02-18,-2.5
2000-02-22,6.3347999999999995
2000-02-23,4.0426
2000-02-24,-3.4765
2000-02-25,8.4746
2000-02-28,6.25
2000-02-29,14.3382
2000-03-01,-0.9646
2000-03-02,14.2857
2000-03-03,-2.9356
2000-03-06,-7.122
2000-03-07,0.7878
2000-03-08,1.6675
2000-03-09,10.4049
2000-03-10,1.0214
2000-03-13,-5.8824
2000-03-14,4.6875
2000-03-15,-14.1791
2000-03-16,7.1739
2000-03-17,1.217
2000-03-20,-8.016
2000-03-21,-2.9412000000000003
2000-03-22,-0.6173
2000-03-23,1.6375
2000-03-24,-5.2222
2000-03-27,-5.041
2000-03-28,-5.679
2000-03-29,-7.0026
2000-03-30,-15.2709
2000-03-31,-6.1462
2000-04-03,-13.7168
2000-04-04,-7.0769
2000-04-05,13.9073
2000-04-06,5.4264
2000-04-07,0.5515
2000-04-10,-4.5704
2000-04-11,-7.567
2000-04-12,-16.6839
2000-04-13,-16.4179
2000-04-14,-26.3393
2000-04-17,6.6667
2000-04-18,16.6667
2000-04-19,-4.2208
2000-04-20,-10.678
2000-04-24,-4.3643
2000-04-25,18.8492
2000-04-26,0.0
2000-04-27,6.8447
2000-04-28,0.4688
2000-05-01,8.5537
2000-05-02,-14.8997
2000-05-03,-0.3367
2000-05-04,-0.6757
2000-05-05,4.0816
2000-05-08,-5.0654
2000-05-09,-6.3683
2000-05-10,-8.4559
2000-05-11,-2.8112
2000-05-12,0.8264
2000-05-15,13.5246
2000-05-16,3.2491
2000-05-17,-8.3916
2000-05-18,-4.9618
2000-05-19,-5.2209
2000-05-22,1.4830999999999999
