ticker,OIDN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-06,460.0
2000-05-12,-98.2143
2000-05-24,2300.0
2000-06-02,-91.6667
2000-10-25,-50.0
2001-03-08,0.0
2001-09-17,1500.0
2001-10-11,0.0
2001-11-06,-91.25
2001-12-31,-25.7143
2002-01-22,0.0
2002-03-26,292.3077
2002-03-27,0.0
2002-05-13,-73.5294
2002-10-16,11.1111
2003-05-05,0.0
2003-05-15,0.0
2003-09-02,573.3333
2003-10-10,98.0198
2003-10-20,0.0
2003-11-07,-0.5
2003-11-19,-34.6734
2003-11-20,0.0
2003-11-25,0.0
2003-11-26,0.0
2003-11-28,-3.8462
2003-12-01,8.0
2003-12-02,0.0
2003-12-03,-7.4074
2003-12-04,-4.0
2003-12-05,4.1667
2003-12-08,-4.0
2003-12-10,4.1667
2003-12-18,-4.0
2003-12-24,2.5
2004-02-27,-2.439
2004-03-11,-25.0
2004-03-12,0.0
2004-03-15,0.0
2004-03-18,22.2222
2004-03-19,-22.7273
2004-04-06,0.0
2004-04-13,11.7647
2004-04-14,-10.526299999999999
2004-04-22,0.0
2004-04-23,10.5882
2004-04-26,1.0638
2004-04-27,1.0526
2004-04-28,-11.4583
2004-04-29,-3.5294
2004-04-30,0.0
2004-05-05,-8.5366
2004-05-06,-4.0
2004-05-12,0.0
2004-05-13,12.5
2004-05-17,4.9383
2004-05-18,-5.8824
2004-05-19,5.0
2004-05-20,-5.9524
2004-05-21,-5.0633
2004-06-02,0.0
2004-06-03,0.0
2004-06-07,0.0
2004-06-08,0.0
2004-06-09,0.0
2004-06-14,-25.3333
2004-06-15,-10.7143
2004-06-16,-8.0
2004-06-17,0.0
2004-06-21,-17.3913
2004-06-22,-13.1579
2004-06-24,-3.0303
2004-06-25,0.0
2004-06-28,0.0
2004-06-30,0.0
2004-07-01,0.0
2004-07-07,-6.25
2004-07-08,0.0
2004-07-09,-6.6667
2004-07-12,0.0
2004-07-14,0.0
2004-07-16,0.0
2004-07-20,-42.8571
2004-07-22,-25.0
2004-07-27,-8.3333
2004-07-28,-54.5455
2004-07-29,20.0
2004-08-02,-16.6667
2004-08-05,0.0
2004-08-11,0.0
2004-09-29,0.0
2004-09-30,0.0
2004-10-04,40.0
2004-10-18,-26.4286
2004-10-19,6.7961
2004-10-20,0.0
2004-10-21,-0.9091
2004-10-22,1.8349
2004-10-25,0.0
2004-10-27,-5.4054
2004-10-28,1.9048
2004-10-29,2.8037
2004-11-01,-4.5455
2004-11-03,4.7619
