ticker,CHYL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-05,6.6667
2000-01-28,-37.5
2000-03-01,-68.0
2000-03-06,900.0
2000-06-12,0.0
2000-08-16,0.0
2000-08-28,5.0
2000-09-19,-10.7143
2000-09-29,33.3333
2000-10-03,-20.0
2000-10-23,25.0
2000-10-24,-25.0
2000-10-30,-16.6667
2000-10-31,20.0
2000-11-01,-16.6667
2000-11-21,-20.0
2000-12-28,-25.0
2001-01-10,66.6667
2001-03-06,-40.0
2001-03-21,-33.3333
2001-06-26,140.0
2001-06-27,66.6667
2001-06-28,40.0
2001-06-29,-28.5714
2001-07-11,-20.0
2001-09-06,0.0
2001-10-01,-25.0
2001-10-10,-20.0
2001-10-31,-16.6667
2002-02-25,25.0
2002-03-15,0.0
2002-04-09,0.0
2002-05-30,-44.0
2002-06-25,71.4286
2002-07-11,-16.6667
2002-08-21,0.0
2002-09-16,10.0
2002-09-25,-9.0909
2002-09-30,10.0
2002-10-22,-9.0909
2002-10-30,-10.0
2003-01-07,11.1111
2003-01-09,10.0
2003-01-30,9.0909
2003-02-12,0.0
2003-02-28,8.3333
2003-06-27,15.3846
2003-10-01,573.3333
2003-10-03,-84.1584
2003-11-26,6.25
2003-11-28,76.4706
2004-02-04,-50.0
2004-07-26,6.6667
2004-08-09,-6.25
2004-08-27,0.0
2004-11-10,-33.3333
2005-01-04,-10.0
2005-04-15,0.0
2005-10-05,0.0
2005-10-06,-22.2222
2006-01-12,28.5714
2006-01-18,0.0
2006-07-26,-22.2222
2006-09-11,0.0
2007-02-20,214.2857
2007-06-27,-9.0909
2007-07-11,-68.0392
2007-07-16,0.0
2007-07-18,0.0
2007-07-20,383.3333
2007-07-23,3.4483
2007-11-20,0.0
2008-01-16,0.0
2008-01-17,236.6667
2008-01-18,-0.8911
2008-02-12,-0.0999
2008-02-19,1.0
2008-02-20,-20.7921
2008-03-13,-6.25
2008-06-04,-82.0
2008-06-10,0.0
2008-10-10,-11.1111
2008-11-17,66.6667
2008-11-18,150.0
2008-11-19,-80.0
2008-11-20,-50.0
2008-11-21,100.0
2008-11-24,0.0
2008-12-01,-70.0
2008-12-02,233.3333
2008-12-10,-70.0
2008-12-11,0.0
2008-12-12,133.3333
2008-12-16,-28.5714
2008-12-19,40.0
2008-12-23,-64.2857
2008-12-26,20.0
2008-12-29,50.0
2008-12-31,11.1111
2009-01-09,40.0
2009-01-13,0.0
2009-01-15,-42.8571
2009-01-22,25.0
2009-01-23,-20.0
