ticker,INFX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-08-21,3600.0
2002-08-22,2.7027
2002-08-23,2.6316
2002-08-27,-7.6923
2002-08-28,8.3333
2002-08-29,-23.0769
2002-08-30,-16.6667
2002-09-09,20.0
2002-09-10,0.0
2002-09-12,3.3333
2002-09-13,0.0
2002-09-17,12.9032
2002-09-19,-11.4286
2002-09-25,-16.129
2002-09-30,26.9231
2002-10-01,-18.1818
2002-10-02,11.1111
2002-10-03,-6.6667
2002-10-11,21.4286
2002-10-15,2.9412000000000003
2002-10-17,-25.7143
2002-10-22,53.8462
2002-10-23,5.0
2002-11-05,0.0
2002-11-06,-1.4285999999999999
2002-11-08,-13.0435
2002-11-14,-5.5556
2002-11-15,7.0588
2002-11-18,-6.5934
2002-11-22,5.8824
2002-11-25,5.5556
2002-11-26,5.2632
2002-11-29,0.5
2002-12-02,4.4776
2002-12-04,19.0476
2002-12-05,-12.0
2002-12-06,1.3636
2002-12-10,0.8969
2002-12-11,0.0
2002-12-13,1.5556
2002-12-18,2.8446
2002-12-20,-2.1277
2002-12-27,4.3478
2002-12-30,6.25
2002-12-31,7.8431
2003-01-03,16.3636
2003-01-06,40.625
2003-01-07,5.5556
2003-01-09,-13.6842
2003-01-10,-8.5366
2003-01-14,-4.0
2003-01-15,2.2222
2003-01-16,2.4457
2003-01-17,-1.8568
2003-01-21,1.3514
2003-01-22,2.6667
2003-01-23,3.8961
2003-01-27,-13.75
2003-01-29,-1.4493
2003-01-30,2.9412000000000003
2003-01-31,-1.7143000000000002
2003-02-06,-4.0698
2003-02-07,6.0606
2003-02-11,0.2857
2003-02-14,5.4131
2003-02-18,-5.4054
2003-02-19,2.8571
2003-02-20,0.0
2003-02-27,-5.5556
2003-03-03,-26.4706
2003-03-05,8.0
2003-03-12,7.4074
2003-03-14,-3.4483
2003-03-25,-19.6429
2003-03-26,11.1111
2003-03-28,-4.0
2003-04-02,13.75
2003-04-10,-8.4249
2003-04-14,2.8
2003-04-16,-12.4514
2003-04-17,11.1111
2003-04-23,-18.0
2003-04-29,-2.439
2003-05-07,37.5
2003-05-08,36.3636
2003-05-09,30.6667
2003-05-12,-8.1633
2003-05-13,-17.7778
2003-05-14,1.3514
2003-05-28,-13.3333
2003-05-30,13.8462
2003-06-02,-24.3243
2003-06-03,-17.8571
2003-06-05,4.3478
2003-06-10,4.1667
2003-06-13,6.0
2003-06-18,-11.3208
2003-06-23,12.766
2003-06-26,-9.434
2003-06-27,4.1667
