ticker,GEC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.9353
2000-01-04,4.4606
2000-01-05,6.852
2000-01-06,-7.0632
2000-01-07,3.1
2000-01-10,-3.9767
2000-01-11,-6.6667
2000-01-12,-9.5779
2000-01-13,-1.4961
2000-01-14,2.7946999999999997
2000-01-18,16.844
2000-01-19,-2.8832
2000-01-20,4.2708
2000-01-21,11.8881
2000-01-24,-10.0
2000-01-25,1.6865
2000-01-26,-2.0488
2000-01-27,-2.241
2000-01-28,-4.6358
2000-01-31,-5.9829
2000-02-01,3.8068
2000-02-02,1.861
2000-02-03,4.0301
2000-02-04,10.0207
2000-02-07,3.8967
2000-02-08,-1.6719
2000-02-09,-3.8603
2000-02-10,0.0
2000-02-11,-7.3614
2000-02-14,-2.1672
2000-02-15,-1.9515
2000-02-16,6.4013
2000-02-17,5.1062
2000-02-18,5.9163
2000-02-22,-0.5904
2000-02-23,7.4463
2000-02-24,-1.8707
2000-02-25,6.0659
2000-02-28,-6.2092
2000-02-29,-2.7003
2000-03-01,2.5067
2000-03-02,2.8384
2000-03-03,-2.5053
2000-03-06,4.7038
2000-03-07,-3.4526
2000-03-08,-0.0431
2000-03-09,16.8966
2000-03-10,18.4366
2000-03-13,-10.523
2000-03-14,-5.254
2000-03-15,-10.392900000000001
2000-03-16,6.1475
2000-03-17,-1.3514
2000-03-20,-10.4892
2000-03-21,0.7433
2000-03-22,4.7743
2000-03-23,0.0829
2000-03-24,2.3179
2000-03-27,10.8414
2000-03-28,0.3285
2000-03-29,-1.3822999999999999
2000-03-30,-13.2792
2000-03-31,11.0166
2000-04-03,-16.4751
2000-04-04,-11.2844
2000-04-05,-7.1872
2000-04-06,5.0139
2000-04-07,19.0451
2000-04-10,-10.205
2000-04-11,-11.067
2000-04-12,-14.732099999999999
2000-04-13,-24.6073
2000-04-14,-22.2222
2000-04-17,43.8616
2000-04-18,-4.422
2000-04-19,-3.9773
2000-04-20,-8.4531
2000-04-24,-7.8486
2000-04-25,6.3126
2000-04-26,-1.6965
2000-04-27,11.8888
2000-04-28,15.1671
2000-05-01,3.2738
2000-05-02,-9.7983
2000-05-03,-3.754
2000-05-04,3.1535
2000-05-05,0.4023
2000-05-08,-3.766
2000-05-09,-7.0774
2000-05-10,-12.1864
2000-05-11,12.7551
2000-05-12,2.4434
2000-05-15,13.4276
2000-05-16,2.1807
2000-05-17,1.8293
2000-05-18,-2.9939999999999998
2000-05-19,-9.1049
2000-05-22,4.8387
