ticker,QEGY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-02,40.0
2006-01-26,971.4286
2006-01-31,213.3333
2006-02-01,31.9149
2006-03-03,1.6129
2006-03-06,4.7619
2006-03-07,7.5758
2006-03-21,41.5493
2006-03-29,50.2488
2006-06-15,-30.1325
2006-06-16,-0.4739
2006-06-19,0.1905
2006-06-20,-0.1901
2006-06-21,0.0595
2006-06-23,23.7359
2006-06-30,-1.5385
2006-07-03,0.3906
2006-07-05,2.7237
2006-07-06,9.8485
2006-07-07,37.2414
2006-07-10,-2.0101
2006-07-11,-2.5641
2006-07-12,5.2632
2006-07-13,8.0
2006-07-14,1.8519
2006-07-17,2.7273
2006-07-18,-0.2212
2006-07-19,3.3259
2006-07-20,2.5751
2006-07-21,1.2551999999999999
2006-07-24,4.1322
2006-07-25,-8.3333
2006-07-26,-0.8658
2006-07-27,-3.9301
2006-07-28,0.9091
2006-07-31,10.8108
2006-08-01,10.5691
2006-08-02,1.8382
2006-08-03,-3.9711
2006-08-04,9.0226
2006-08-07,-1.0345
2006-08-08,6.9686
2006-08-09,2.2801
2006-08-10,4.7771
2006-08-11,-0.304
2006-08-14,0.6098
2006-08-15,2.1212
2006-08-16,-2.0772
2006-08-17,0.303
2006-08-18,0.9063
2006-08-21,-0.2994
2006-08-22,3.003
2006-08-23,2.9154999999999998
2006-08-24,3.3994
2006-08-25,4.1096
2006-08-28,4.7368
2006-08-29,4.2714
2006-08-30,-7.2289
2006-08-31,-11.6883
2006-09-01,4.7059
2006-09-05,-12.9213
2006-09-06,-3.2258
2006-09-07,3.3333
2006-09-08,-2.5806
2006-09-11,1.6556
2006-09-12,5.8632
2006-09-13,-10.461500000000001
2006-09-14,-0.3436
2006-09-15,3.4483
2006-09-18,-3.3333
2006-09-19,0.6897
2006-09-20,-3.0822
2006-09-21,18.3746
2006-09-22,-2.0896
2006-09-25,-0.9146
2006-09-26,3.3846
2006-09-27,0.2976
2006-09-28,1.4837
2006-09-29,2.6316
2006-10-02,0.2849
2006-10-03,1.7045
2006-10-04,0.5587
2006-10-05,0.6389
2006-10-06,-0.9108
2006-10-09,-2.507
2006-10-10,-5.7143
2006-10-11,2.7273
2006-10-12,0.885
2006-10-13,-9.3567
2006-10-16,2.2580999999999998
2006-10-17,-2.5237
2006-10-18,0.6472
2006-10-19,2.8939
2006-10-20,-2.5
2006-10-23,-2.5641
2006-10-24,-1.3158
2006-10-25,1.6667
2006-10-26,-1.6393
2006-10-27,-5.0
