ticker,AOVTF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-21,-2.7778
2006-11-22,-7.4286
2006-11-30,9.2207
2006-12-04,2.1665
2006-12-06,-4.1143
2006-12-07,-11.538499999999999
2006-12-19,-4.3478
2006-12-27,0.0
2007-01-26,16.8182
2007-02-14,5.5204
2007-02-27,25.7663
2007-03-05,-5.3418
2007-03-12,4.7527
2007-04-17,-0.2033
2007-04-23,7.2593
2007-05-15,26.2172
2007-05-30,-16.873
2007-07-25,-0.7158
2007-09-07,-42.6784
2007-09-10,-2.2987
2007-09-14,41.3436
2007-10-05,21.1893
2007-10-11,-0.9675
2007-10-18,-3.21
2007-11-01,-7.2097999999999995
2007-12-28,-29.9145
2007-12-31,-1.5521
2008-01-04,10.9234
2008-01-11,-3.3883
2008-01-15,0.2233
2008-01-23,-15.0721
2008-01-24,1.2346
2008-01-25,-2.439
2008-02-08,0.0
2008-02-12,-4.25
2008-02-15,4.4386
2008-02-19,-0.625
2008-02-20,0.6289
2008-02-21,-5.0
2008-02-22,5.2632
2008-03-17,26.5469
2008-03-20,-24.929
2008-04-01,-1.0526
2008-04-15,20.8777
2008-04-22,-2.4202
2008-04-30,-9.4983
2008-05-12,2.9897
2008-05-22,26.2776
2008-06-02,6.0943
2008-06-17,-1.5912
2008-06-18,0.9174
2008-09-19,-36.75
2008-10-15,-33.8843
2008-11-14,-26.5217
2009-01-08,0.5917
2009-01-16,-2.6471
2009-03-12,-17.2205
2009-05-05,70.073
2009-05-15,-4.5064
2009-05-22,-1.1236
2009-05-26,-2.9545
2009-05-28,4.6838
2009-06-10,26.6219
2009-06-11,-3.8869
2009-06-17,15.8088
2009-06-18,2.8571
2009-08-14,-18.2099
2009-08-24,-8.6792
2009-08-25,3.0992
2009-08-26,-1.2024
2009-08-28,3.4483
2009-09-01,-7.2549
2009-09-02,7.611
2009-09-04,-3.7328
2009-09-08,-3.2653
2009-09-09,-6.1181
2009-09-11,2.4718999999999998
2009-09-22,0.8772
2009-09-23,-0.4348
2009-09-28,-1.31
2009-10-02,-7.7434
2009-10-06,13.4293
2009-10-07,-4.2283
2009-10-09,8.1678
2009-10-13,-1.0204
2009-10-16,9.4845
2009-10-19,-2.8249
2009-10-20,-3.876
2009-10-21,8.871
2009-10-26,10.6019
2009-10-27,-4.2696
2009-10-29,3.192
2009-11-04,-4.0678
2009-11-05,-1.7668
2009-11-06,12.0054
2009-11-09,2.1277
2009-11-11,-2.044
2009-11-16,2.9494
2009-11-27,-11.2259
