ticker,THRY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-05,12.0
2017-04-19,12.5
2017-05-03,6.3492
2017-05-11,16.4179
2017-06-29,-2.5641
2017-07-06,13.1579
2017-07-13,0.0
2017-07-14,3.4884
2017-07-18,-0.7865
2017-08-08,7.5878
2017-08-10,7.3684
2017-08-17,-0.9804
2017-08-23,0.0
2017-09-13,0.9901
2017-09-18,1.9607999999999999
2017-09-19,0.9615
2017-09-20,3.4286
2017-09-26,2.2099
2017-09-27,2.7027
2017-10-18,-0.8772
2017-10-31,6.1947
2017-11-01,3.3333
2017-11-16,1.6129
2017-12-06,13.4921
2017-12-11,0.6993
2017-12-21,3.4722
2018-01-05,-1.3423
2018-01-10,1.3605
2018-01-11,-3.3557
2018-01-18,1.3889
2018-02-20,10.274000000000001
2018-02-27,8.6957
2018-03-02,0.0
2018-03-06,3.4286
2018-04-18,-3.3149
2018-04-25,0.5714
2018-04-27,-2.2727
2018-05-02,1.7442
2018-05-11,-0.5714
2018-05-14,4.023
2018-05-15,2.2099
2018-05-16,2.1622
2018-05-22,3.1746
2018-05-25,0.5128
2018-06-07,-1.9388
2018-06-08,0.9365
2018-06-15,1.0309
2018-06-27,7.1429
2018-10-12,-4.7619
2018-11-01,10.0
2018-11-02,-2.2727
2018-11-09,-3.7209
2019-02-28,3.1401
2020-03-10,-42.623
2020-06-05,-4.2449
2020-06-09,0.0
