ticker,MLTO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-03,-1.6129
2005-05-04,29.5082
2005-05-05,0.0
2005-05-06,-13.9241
2005-05-09,11.7647
2005-05-10,-5.2632
2005-05-11,-12.5
2005-05-12,11.1111
2005-05-13,-10.0
2005-05-16,7.9365
2005-05-17,10.5882
2005-05-18,-8.2447
2005-05-19,-2.8986
2005-05-23,0.0299
2005-05-24,-3.014
2005-05-25,-4.6154
2005-05-27,3.2258
2005-05-31,-1.5625
2005-06-01,-7.9365
2005-06-02,6.8966
2005-06-03,-12.9032
2005-06-06,-7.4074
2005-06-07,12.0
2005-06-08,3.5714
2005-06-09,10.3448
2005-06-10,3.125
2005-06-13,3.0303
2005-06-14,1.4706000000000001
2005-06-15,-7.2464
2005-06-16,-14.0625
2005-06-17,-9.0909
2005-06-24,10.0
2005-06-27,-9.0909
2005-06-28,4.0
2005-06-29,-15.3846
2005-07-01,-9.0909
2005-07-06,19.5
2005-07-07,-16.318
2005-07-14,-15.0
2005-07-21,5.8824
2005-07-25,-5.5556
2005-07-27,-5.8824
2005-07-28,-6.25
2005-08-01,0.0
2005-08-02,0.0
2005-08-04,20.0
2005-08-05,11.1111
2005-08-08,-5.0
2005-08-09,50.0
2005-08-10,-10.526299999999999
2005-08-11,5.8824
2005-08-12,0.0
2005-08-15,-1.8519
2005-08-16,1.5093999999999999
2005-08-17,0.0
2005-08-18,0.3717
2005-08-19,-1.8519
2005-08-22,-47.1698
2005-08-23,42.8571
2005-08-24,27.5
2005-08-25,-33.3333
2005-08-26,50.0
2005-08-29,-1.9607999999999999
2005-08-30,-14.0
2005-08-31,-2.3256
2005-09-01,9.5238
2005-09-02,-2.1739
2005-09-06,0.0
2005-09-07,4.4444
2005-09-08,2.1277
2005-09-09,6.25
2005-09-12,0.0
2005-09-13,11.7647
2005-09-14,-1.7544
2005-09-15,3.5714
2005-09-16,3.4483
2005-09-19,10.0
2005-09-20,4.5455
2005-09-21,-4.3478
2005-09-22,-4.5455
2005-09-23,7.9365
2005-09-26,-3.5294
2005-09-27,-5.4878
2005-09-28,8.0645
2005-09-29,-4.4776
2005-09-30,6.25
2005-10-03,1.4706000000000001
2005-10-04,0.0
2005-10-05,-1.4493
2005-10-06,2.9412000000000003
2005-10-07,-2.8571
2005-10-10,13.2353
2005-10-11,5.1948
2005-10-12,1.2346
2005-10-13,1.2195
2005-10-14,1.2048
2005-10-17,4.7619
2005-10-18,3.4091
2005-10-19,-1.0989
2005-10-20,3.3333
