ticker,VMTF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-05,0.0
2000-01-06,0.0
2000-01-07,25.0
2000-01-10,50.0
2000-01-11,41.6667
2000-01-12,-23.5294
2000-01-13,38.4615
2000-01-14,-10.4889
2000-01-18,-25.5214
2000-01-19,33.3333
2000-01-20,25.0
2000-01-21,-10.0
2000-01-24,11.1111
2000-01-26,-10.0
2000-01-27,11.1111
2000-01-28,-5.0
2000-01-31,1.0526
2000-02-01,-12.5
2000-02-02,-4.7619
2000-02-03,0.0
2000-02-04,0.0
2000-02-07,-5.0
2000-02-09,5.2632
2000-02-10,-6.25
2000-02-11,4.0
2000-02-14,-0.5128
2000-02-16,-3.0928
2000-02-17,0.0
2000-02-18,-4.2553
2000-02-22,-11.1111
2000-02-23,12.5
2000-02-24,-1.1111
2000-02-25,-10.1124
2000-02-28,2.5
2000-02-29,3.6585
2000-03-01,-5.8824
2000-03-02,-3.75
2000-03-03,6.4935
2000-03-06,0.0
2000-03-07,-6.0976
2000-03-08,3.8961
2000-03-09,-5.0
2000-03-10,5.2632
2000-03-13,-6.25
2000-03-14,-5.3333
2000-03-15,0.0
2000-03-16,0.0
2000-03-17,5.6338
2000-03-20,6.6667
2000-03-21,0.0
2000-03-22,-6.25
2000-03-23,0.0
2000-03-24,-5.3333
2000-03-27,0.0
2000-03-28,1.2324
2000-03-29,4.3478
2000-03-31,6.6667
2000-04-05,-25.0
2000-04-06,16.6667
2000-04-07,-7.1429
2000-04-10,0.0
2000-04-11,-30.7692
2000-04-12,0.0
2000-04-17,0.0
2000-04-18,0.0
2000-04-24,-11.1111
2000-04-26,9.375
2000-04-27,-8.5714
2000-04-28,5.0
2000-05-01,19.0476
2000-05-02,6.0
2000-05-03,-1.8868
2000-05-04,-3.8462
2000-05-05,-4.0
2000-05-09,4.1667
2000-05-10,0.0
2000-05-11,8.0
2000-05-12,-3.7037
2000-05-15,-3.8462
2000-05-16,0.0
2000-05-17,4.0
2000-05-18,-3.8462
2000-05-19,0.0
2000-05-25,-10.0
2000-05-26,-8.8889
2000-06-05,-24.3902
2000-06-06,0.0
2000-06-07,-19.3548
2000-06-14,20.0
2000-06-20,-16.6667
2000-06-22,-12.0
2000-06-28,0.0
2000-06-29,9.0909
2000-07-07,-16.6667
2000-07-11,0.0
2000-07-17,0.0
2000-07-19,-5.0
2000-07-21,21.0526
2000-08-25,-15.2174
2000-08-28,0.0
2000-08-29,0.0
2000-08-30,-2.5641
