ticker,SNLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-01-31,0.0
2001-02-05,0.0
2001-04-25,0.0
2001-05-14,2.7273
2001-05-15,0.0
2001-11-02,-33.6283
2001-11-13,53.3333
2001-11-27,0.0
2001-12-03,0.0
2002-05-30,21.7391
2003-03-18,9.818200000000001
2003-03-19,4.9669
2003-06-16,5.6782
2003-07-16,13.6364
2003-07-28,2.7199999999999998
2003-07-29,3.8422
2003-07-30,1.25
2003-09-25,3.7037
2003-10-23,1.1905000000000001
2003-11-05,101.1765
2003-12-17,-44.0518
2003-12-19,1.0526
2004-01-08,25.0
2004-01-27,3.3333
2004-02-02,0.1613
2004-02-10,14.3317
2004-03-09,21.1268
2004-03-16,18.6047
2004-03-18,0.0
2004-03-19,3.9215999999999998
2004-03-22,-1.8868
2004-03-30,3.8462
2004-03-31,-1.3889
2004-04-07,0.939
2004-04-13,0.0
2004-04-15,0.4651
2004-04-26,0.0
2004-04-29,11.1111
2004-04-30,3.3333
2004-05-04,11.2903
2004-05-10,8.6957
2004-05-11,13.3333
2004-05-12,-12.6471
2004-05-21,5.8586
2004-05-25,8.1425
2004-05-26,1.8824
2004-05-28,-1.4493
2004-06-03,-2.3529
2004-06-04,-6.6265
2004-06-14,4.1935
2004-06-15,-0.9288
2004-06-16,-3.125
2004-06-17,2.5806
2004-06-18,6.9182
2004-06-21,-5.8824
2004-06-22,-0.625
2004-06-25,-2.5157
2004-06-28,2.9032
2004-06-30,-5.9561
2004-07-01,2.3333
2004-07-06,1.6287
2004-07-07,-0.3205
2004-07-09,-1.9293
2004-07-13,-1.6393
2004-07-15,-5.0
2004-07-19,4.9123
2004-07-20,-3.01
2004-07-21,-3.4483
2004-07-26,5.3571
2004-07-27,-5.0847
2004-07-28,0.0
2004-08-02,-1.7856999999999998
2004-08-04,-1.8182
2004-08-05,-3.7037
2004-08-06,0.0
2004-08-09,0.0
2004-08-10,0.0
2004-08-13,14.6154
2004-08-16,1.3423
2004-08-17,0.9934
2004-08-24,-1.6393
2004-08-25,0.0
2004-08-27,0.0
2004-08-30,0.0
2004-09-02,1.6667
2004-09-14,-3.2787
2004-09-15,-1.0169
2004-09-16,2.0548
2004-09-17,0.0
2004-09-21,0.0
2004-09-22,0.0
2004-09-23,0.6711
2004-09-24,0.0
2004-09-28,1.6667
2004-09-30,0.0
2004-10-04,1.9672
2004-10-06,1.9293
2004-10-07,4.1009
2004-10-08,-1.5152
2004-10-12,0.0
2004-10-13,0.0
