ticker,AZBCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-15,-3.7329
2007-10-16,-0.3086
2007-10-18,22.4495
2007-10-19,17.3555
2007-10-22,-4.0929
2007-10-23,0.7813
2007-10-25,-8.5562
2007-10-26,-1.3776
2007-10-29,0.2256
2007-10-30,5.2316
2007-10-31,4.1565
2007-11-01,1.5453999999999999
2007-11-02,-1.9842
2007-11-05,0.1572
2007-11-06,-3.7677
2007-11-09,-22.0228
2007-11-12,2.3013
2007-11-13,-3.8855
2007-11-14,9.0824
2007-11-15,-0.5242
2007-11-16,8.0392
2007-11-19,-20.5082
2007-11-20,0.0
2007-11-21,-6.8493
2007-11-23,8.5784
2007-11-26,14.8984
2007-11-27,-4.8870000000000005
2007-11-28,4.8283000000000005
2007-11-29,1.4778
2007-11-30,-2.4272
2007-12-03,-1.8904999999999998
2007-12-04,-16.0243
2007-12-06,15.942
2007-12-07,-0.2083
2007-12-28,-14.1962
2008-01-02,3.4063
2008-01-03,7.0588
2008-01-04,1.0989
2008-01-08,-12.6087
2008-01-10,-0.5286
2008-01-16,-0.1876
2008-01-18,-0.2819
2008-01-22,-12.9397
2008-01-25,14.2857
2008-01-28,-2.5253
2008-01-30,-15.285
2008-02-21,-16.7813
2008-02-25,21.5204
2008-02-26,7.8057
2008-02-27,-4.9088
2008-02-28,0.59
2008-02-29,2.6393
2008-03-03,-3.1429
2008-03-06,-10.3245
2008-03-07,0.6579
2008-03-12,0.6127
2008-03-14,-6.9428
2008-03-20,-14.8342
2008-04-02,-19.3904
2008-04-03,16.0788
2008-04-04,-1.0129
2008-04-07,5.3097
2008-04-09,-4.9107
2008-04-10,-3.2312
2008-04-11,-0.4566
2008-04-14,-1.0034
2008-04-29,-10.657399999999999
2008-04-30,-6.4506
2008-05-01,15.8697
2008-05-02,-4.7847
2008-05-05,10.5528
2008-05-06,1.3636
2008-05-07,-4.9327
2008-05-08,19.5755
2008-05-09,9.073
2008-05-12,-9.0416
2008-05-13,-3.7773
2008-05-14,-0.8264
2008-05-15,-3.3333
2008-05-16,4.7414
2008-05-20,-13.0401
2008-05-21,7.6605
2008-05-27,0.8791
2008-05-28,-1.9607999999999999
2008-05-30,-3.6944
2008-06-04,-7.2397
2008-06-06,-5.7214
2008-06-10,-6.7942
2008-06-11,8.350999999999999
2008-06-13,0.5879
2008-06-18,-3.3766
2008-06-24,23.6559
2008-06-25,-3.125
2008-06-26,-2.4684
2008-06-27,11.5905
2008-07-03,-25.0
