ticker,CATC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.0381
2000-01-05,1.3986
2000-01-06,-1.3793
2000-01-07,0.6993
2000-01-26,0.0
2000-02-01,-0.6944
2000-02-03,0.0
2000-02-09,0.0
2000-02-10,0.0
2000-02-16,0.0
2000-02-17,0.0
2000-02-22,0.0
2000-02-29,1.2943
2000-03-06,0.0
2000-03-16,1.3889
2000-03-28,0.0
2000-03-30,-1.3699
2000-03-31,0.0
2000-04-04,2.0833
2000-04-11,0.0
2000-04-12,0.0
2000-04-18,0.0
2000-04-20,0.0
2000-05-09,-0.6803
2000-05-18,0.0
2000-05-31,1.9565000000000001
2000-06-01,0.0
2000-06-02,0.0
2000-06-06,1.0135
2000-06-07,0.0
2000-06-08,0.5017
2000-06-20,-0.4992
2000-06-23,0.0
2000-06-26,0.5017
2000-06-27,-0.1664
2000-07-07,0.5
2000-07-13,-1.1609
2000-07-31,0.6711
2000-08-01,0.0
2000-08-08,0.5
2000-08-22,-0.4975
2000-08-30,1.0
2000-08-31,0.3322
2000-09-06,-0.6623
2000-09-08,1.0
2000-09-12,0.0
2000-09-20,0.0
2000-09-25,2.9703
2000-09-27,0.0
2000-09-28,-1.2821
2000-09-29,-0.974
2000-10-06,1.3115
2000-10-31,-0.9709
2000-11-03,0.1634
2000-11-08,0.0
2000-11-09,0.8157
2000-11-15,0.3236
2000-11-22,0.0
2000-11-27,0.0
2000-11-29,-0.6452
2000-12-21,0.6536
2001-01-02,1.2987
2001-01-03,0.9615
2001-01-08,-0.9524
2001-01-09,0.0
2001-01-12,-1.2821
2001-01-25,0.6494
2001-02-02,0.0
2001-02-13,0.1613
2001-03-26,0.4862
2001-04-06,0.9677
2001-04-12,-0.639
2001-04-17,0.3215
2001-04-25,0.1282
2001-05-01,-0.128
2001-05-08,0.641
2001-05-09,0.6369
2001-05-10,0.0
2001-05-15,-0.6329
2001-05-16,0.0
2001-05-17,0.0
2001-05-18,0.6369
2001-06-01,2.3597
2001-06-04,-0.3115
2001-06-05,1.25
2001-06-11,0.0
2001-06-14,0.6173
2001-06-19,0.3067
2001-07-06,1.5291000000000001
2001-07-09,-0.6024
2001-07-11,0.0
2001-07-25,1.8182
2001-07-30,0.2976
2001-08-08,-0.0593
2001-08-09,0.0
2001-09-07,0.7775
2001-09-10,0.8902
2001-09-17,-0.8235
2001-09-21,-0.2966
2001-10-01,-0.0595
2001-10-09,0.5952
2001-10-25,-0.5917
2001-10-26,0.2976
2001-10-30,1.4837
