ticker,BLLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.521
2000-01-04,-6.0345
2000-01-05,-9.1743
2000-01-06,3.0303
2000-01-07,1.9607999999999999
2000-01-10,-1.9231
2000-01-11,-5.8824
2000-01-12,-3.125
2000-01-13,1.0753
2000-01-14,0.0
2000-01-18,-25.5319
2000-01-19,-8.5714
2000-01-20,1.5625
2000-01-21,9.2308
2000-01-24,-7.0423
2000-01-25,-1.5152
2000-01-26,0.0
2000-01-27,0.0
2000-01-28,-3.0769
2000-01-31,-4.7619
2000-02-01,1.6667
2000-02-02,0.0
2000-02-03,-6.5574
2000-02-04,-1.7544
2000-02-07,-7.1429
2000-02-08,1.9231
2000-02-09,7.5472
2000-02-10,7.0175
2000-02-11,-6.5574
2000-02-14,-3.5088
2000-02-15,5.4545
2000-02-16,0.0
2000-02-17,1.7241
2000-02-18,0.0
2000-02-22,-5.0847
2000-02-23,-3.5714
2000-02-24,7.4074
2000-02-25,-5.1724
2000-02-28,5.4545
2000-02-29,3.4483
2000-03-01,-5.0
2000-03-02,-1.7544
2000-03-03,-3.5714
2000-03-06,9.2593
2000-03-07,0.0
2000-03-08,-3.3898
2000-03-09,5.2632
2000-03-10,-1.6667
2000-03-13,1.6949
2000-03-14,-1.6667
2000-03-15,-10.1695
2000-03-16,9.434
2000-03-17,-6.8966
2000-03-20,5.5556
2000-03-21,-3.5088
2000-03-22,0.0
2000-03-23,-3.6364
2000-03-24,1.8868
2000-03-27,0.0
2000-03-28,0.0
2000-03-29,-1.8519
2000-03-30,-1.8868
2000-03-31,-1.9231
2000-04-03,-3.9215999999999998
2000-04-04,-4.0816
2000-04-05,-2.1277
2000-04-06,4.3478
2000-04-07,2.0833
2000-04-10,0.0
2000-04-11,-6.1224
2000-04-12,-2.1739
2000-04-13,0.0
2000-04-14,-2.2222
2000-04-17,-2.2727
2000-04-18,2.3256
2000-04-19,9.0909
2000-04-20,-4.1667
2000-04-24,-2.1739
2000-04-25,0.0
2000-04-26,2.2222
2000-04-27,-4.3478
2000-04-28,0.0
2000-05-01,4.5455
2000-05-02,-2.1739
2000-05-03,-4.4444
2000-05-04,-4.6512
2000-05-05,7.3171
2000-05-08,-4.5455
2000-05-09,4.7619
2000-05-10,-4.5455
2000-05-11,-2.3810000000000002
2000-05-12,9.7561
2000-05-15,-4.4444
2000-05-16,0.0
2000-05-17,0.0
2000-05-18,0.0
2000-05-19,-2.3256
2000-05-22,4.7619
2000-05-23,-4.5455
