ticker,NVE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.9568
2000-01-04,0.7491
2000-01-05,5.948
2000-01-06,0.3509
2000-01-07,1.049
2000-01-10,0.0
2000-01-11,-3.1142
2000-01-12,2.5
2000-01-13,-0.7067
2000-01-14,-0.3559
2000-01-18,-2.8571
2000-01-19,0.0
2000-01-20,-1.4706000000000001
2000-01-21,0.0
2000-01-24,0.7463
2000-01-25,-1.8519
2000-01-26,-1.1320999999999999
2000-01-27,-1.9083999999999999
2000-01-28,-3.1128
2000-01-31,2.8112
2000-02-01,1.1719
2000-02-02,1.1583
2000-02-03,1.145
2000-02-04,-3.3962
2000-02-07,-6.6406
2000-02-08,-2.0921
2000-02-09,0.4274
2000-02-10,-5.1064
2000-02-11,-1.7936999999999999
2000-02-14,-3.1963
2000-02-15,-1.8868
2000-02-16,0.4808
2000-02-17,-1.4354
2000-02-18,-0.9709
2000-02-22,0.9804
2000-02-23,0.0
2000-02-24,-2.4272
2000-02-25,-0.4975
2000-02-28,5.5
2000-02-29,3.3175
2000-03-01,0.9174
2000-03-02,-0.4545
2000-03-03,1.8265
2000-03-06,-0.4484
2000-03-07,1.3514
2000-03-08,-0.4444
2000-03-09,0.4464
2000-03-10,-1.3333
2000-03-13,0.4505
2000-03-14,-3.1390000000000002
2000-03-15,3.2407
2000-03-16,7.1749
2000-03-17,-2.5105
2000-03-20,-2.1459
2000-03-21,-6.1404
2000-03-22,-6.5421
2000-03-23,1.0
2000-03-24,2.9703
2000-03-27,-2.8846
2000-03-28,-2.9703
2000-03-29,3.0612
2000-03-30,0.0
2000-03-31,-0.9901
2000-04-03,-1.5
2000-04-04,0.5076
2000-04-05,2.0202
2000-04-06,-0.495
2000-04-07,-0.4975
2000-04-10,3.5
2000-04-11,1.9324
2000-04-12,2.8436
2000-04-13,5.6338
2000-04-14,-2.6667
2000-04-17,3.653
2000-04-18,1.3216
2000-04-19,1.3043
2000-04-20,4.721
2000-04-24,2.8689
2000-04-25,-3.5857
2000-04-26,0.4132
2000-04-27,0.0
2000-04-28,-0.4115
2000-05-01,2.0661
2000-05-02,-2.4291
2000-05-03,-3.7344
2000-05-04,1.2931
2000-05-05,0.4255
2000-05-08,1.6949
2000-05-09,0.0
2000-05-10,1.6667
2000-05-11,1.2295
2000-05-12,-1.6194
2000-05-15,-0.4115
2000-05-16,-1.2397
2000-05-17,-2.0921
2000-05-18,1.2821
2000-05-19,-2.5316
2000-05-22,1.2987
2000-05-23,-1.7094
