ticker,1649587D US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.439
2000-01-04,-4.1667
2000-01-05,2.6087
2000-01-06,-1.6949
2000-01-07,0.431
2000-01-10,-0.4292
2000-01-11,-2.1552
2000-01-12,2.2026
2000-01-13,0.8621
2000-01-14,0.0
2000-01-18,-0.4274
2000-01-19,-0.8584
2000-01-20,-5.1948
2000-01-21,-4.5662
2000-01-24,-1.4354
2000-01-25,0.0
2000-01-26,-0.9709
2000-01-27,-0.4902
2000-01-28,-0.9852
2000-01-31,0.4975
2000-02-01,11.3861
2000-02-02,0.4444
2000-02-03,0.4425
2000-02-04,-2.2026
2000-02-07,0.0
2000-02-08,-2.7027
2000-02-09,-0.9259
2000-02-10,0.9346
2000-02-11,-1.8519
2000-02-14,2.8302
2000-02-15,5.0459
2000-02-16,-1.31
2000-02-17,-0.4425
2000-02-18,-3.1111
2000-02-22,-3.211
2000-02-23,1.4218
2000-02-24,-0.9346
2000-02-25,-1.8868
2000-02-28,2.4038
2000-02-29,2.8169
2000-03-01,-5.0228
2000-03-02,0.9615
2000-03-03,-3.8095
2000-03-06,-2.9703
2000-03-07,-10.2041
2000-03-08,4.5455
2000-03-09,-1.087
2000-03-10,-3.8462
2000-03-13,-2.2857
2000-03-14,2.3392
2000-03-15,6.2857
2000-03-16,16.129
2000-03-17,-0.9259
2000-03-20,-1.4019
2000-03-21,2.8436
2000-03-22,-4.6083
2000-03-23,-0.9662
2000-03-24,-0.9756
2000-03-27,-0.4926
2000-03-28,0.0
2000-03-29,2.4752
2000-03-30,2.4154999999999998
2000-03-31,-1.8868
2000-04-03,0.9615
2000-04-04,-1.4285999999999999
2000-04-05,1.4493
2000-04-06,-0.4762
2000-04-07,5.2632
2000-04-10,1.8182
2000-04-11,-3.125
2000-04-12,0.0
2000-04-13,0.9217
2000-04-14,-5.4795
2000-04-17,-2.4154999999999998
2000-04-18,-1.9802
2000-04-19,-0.5051
2000-04-20,-3.0457
2000-04-24,-6.2827
2000-04-25,3.9106
2000-04-26,-2.6882
2000-04-27,-3.3149
2000-04-28,-1.1429
2000-05-01,11.5607
2000-05-02,1.5544
2000-05-03,1.0204
2000-05-04,3.0303
2000-05-05,2.451
2000-05-08,-1.4354
2000-05-09,-0.9709
2000-05-10,-0.9804
2000-05-11,2.4752
2000-05-12,-1.4493
2000-05-15,1.9607999999999999
2000-05-16,0.4808
2000-05-17,-1.9139
2000-05-18,0.0
2000-05-19,-14.6341
2000-05-22,-1.1429
