ticker,RWY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.3579
2000-01-04,2.1807
2000-01-05,-3.9634
2000-01-06,0.3175
2000-01-07,-1.8987
2000-01-10,2.2580999999999998
2000-01-11,4.7318999999999996
2000-01-12,0.6024
2000-01-13,-2.0958
2000-01-14,0.0
2000-01-18,0.9174
2000-01-19,0.303
2000-01-20,-3.9275
2000-01-21,0.3145
2000-01-24,0.9404
2000-01-25,-0.6211
2000-01-26,0.3125
2000-01-27,-1.5575999999999999
2000-01-28,-7.5949
2000-01-31,-1.3699
2000-02-01,-3.125
2000-02-02,-1.7921
2000-02-03,1.0949
2000-02-04,0.361
2000-02-07,0.7194
2000-02-08,0.7143
2000-02-09,-3.5461
2000-02-10,-2.5735
2000-02-11,-3.3962
2000-02-14,6.25
2000-02-15,-1.1029
2000-02-16,-1.1152
2000-02-17,-0.3759
2000-02-18,-0.3774
2000-02-22,-2.6515
2000-02-23,0.0
2000-02-24,-0.3891
2000-02-25,2.3438
2000-02-28,3.8167999999999997
2000-02-29,0.0
2000-03-01,2.2059
2000-03-02,5.036
2000-03-03,0.6849
2000-03-06,2.7211
2000-03-07,1.3245
2000-03-08,-5.5556
2000-03-09,1.0381
2000-03-10,-4.7945
2000-03-13,-0.3597
2000-03-14,-1.083
2000-03-15,0.7299
2000-03-16,13.0435
2000-03-17,-0.3205
2000-03-20,-0.3215
2000-03-21,-2.2580999999999998
2000-03-22,0.0
2000-03-23,-1.3201
2000-03-24,1.3378
2000-03-27,-1.9802
2000-03-28,1.3468
2000-03-29,0.3322
2000-03-30,3.3113
2000-03-31,0.0
2000-04-03,8.3333
2000-04-04,-2.6627
2000-04-05,3.6474
2000-04-06,1.4663
2000-04-07,1.7341
2000-04-10,3.4091
2000-04-11,3.5714
2000-04-12,7.1618
2000-04-13,-2.7228
2000-04-14,-4.8346
2000-04-17,-5.0802
2000-04-18,7.8873
2000-04-19,-2.8721
2000-04-20,0.2688
2000-04-24,2.681
2000-04-25,6.7885
2000-04-26,-0.2445
2000-04-27,2.2059
2000-04-28,-0.4796
2000-05-01,0.9639
2000-05-02,0.716
2000-05-03,-3.7915
2000-05-04,2.4631
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,-0.9615
2000-05-10,-2.9126
2000-05-11,1.25
2000-05-12,0.7407
2000-05-15,0.7353
2000-05-16,-0.2433
2000-05-17,4.6341
2000-05-18,-0.9324
2000-05-19,1.1764999999999999
2000-05-22,-3.9535
2000-05-23,-0.2421
