ticker,JRCOQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0486
2000-01-04,1.2658
2000-01-05,-3.75
2000-01-06,2.1645
2000-01-07,-2.1186
2000-01-10,0.4329
2000-01-11,-2.1552
2000-01-12,3.0837
2000-01-13,1.2821
2000-01-14,-0.4219
2000-01-18,-4.2373
2000-01-19,1.3274
2000-01-20,6.1135
2000-01-21,-2.0576
2000-01-24,-10.9244
2000-01-25,-2.3585
2000-01-26,-1.4493
2000-01-27,-1.4706000000000001
2000-01-28,-6.4677
2000-01-31,0.0
2000-02-01,-2.1277
2000-02-02,2.7174
2000-02-03,4.2328
2000-02-04,10.6599
2000-02-07,3.6696999999999997
2000-02-08,2.2124
2000-02-09,-4.329
2000-02-10,-0.4525
2000-02-11,-2.2727
2000-02-14,0.0
2000-02-15,0.4651
2000-02-16,-0.463
2000-02-17,-3.2558
2000-02-18,-0.9615
2000-02-22,-6.7961
2000-02-23,0.0
2000-02-24,-0.5208
2000-02-25,-0.5236
2000-02-28,5.2632
2000-02-29,10.0
2000-03-01,6.8182
2000-03-02,-0.4255
2000-03-03,2.9915000000000003
2000-03-06,-2.0747
2000-03-07,0.0
2000-03-08,0.8475
2000-03-09,0.0
2000-03-10,-0.8403
2000-03-13,0.0
2000-03-14,-0.8475
2000-03-15,0.0
2000-03-16,8.1197
2000-03-17,-3.5573
2000-03-20,-2.0492
2000-03-21,0.4184
2000-03-22,1.25
2000-03-23,-1.2346
2000-03-24,0.0
2000-03-27,0.8333
2000-03-28,-1.6529
2000-03-29,0.0
2000-03-30,-4.6218
2000-03-31,3.9648
2000-04-03,1.2711999999999999
2000-04-04,-3.3473
2000-04-05,3.0303
2000-04-06,3.3613
2000-04-07,-3.252
2000-04-10,-9.6639
2000-04-11,-2.3256
2000-04-12,3.8095
2000-04-13,0.4587
2000-04-14,1.8265
2000-04-17,1.7936999999999999
2000-04-18,-0.8811
2000-04-19,-0.8889
2000-04-20,-1.3453
2000-04-24,1.8182
2000-04-25,9.8214
2000-04-26,-0.4065
2000-04-27,-2.0408
2000-04-28,-2.5
2000-05-01,0.4274
2000-05-02,-3.4043
2000-05-03,-1.7621
2000-05-04,0.8969
2000-05-05,8.0
2000-05-08,-3.7037
2000-05-09,-2.5641
2000-05-10,-2.193
2000-05-11,4.4843
2000-05-12,5.5794
2000-05-15,-2.8455
2000-05-16,-0.8368
2000-05-17,-2.1097
2000-05-18,-4.3103
2000-05-19,1.8018
2000-05-22,0.885
