ticker,FJCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.2727
2000-01-04,-3.3333
2000-01-05,-2.2989
2000-01-06,2.3529
2000-01-07,0.0
2000-01-10,0.0
2000-01-11,1.1494
2000-01-12,-1.1364
2000-01-13,2.2989
2000-01-14,-2.2472
2000-01-18,0.0
2000-01-19,1.1494
2000-01-20,-1.1364
2000-01-21,-2.2989
2000-01-24,-1.1764999999999999
2000-01-25,-1.1905000000000001
2000-01-26,1.2048
2000-01-27,0.0
2000-01-28,-1.1905000000000001
2000-01-31,1.2048
2000-02-01,-1.1905000000000001
2000-02-02,0.0
2000-02-03,1.2048
2000-02-04,0.0
2000-02-07,-1.1905000000000001
2000-02-08,1.2048
2000-02-09,-0.619
2000-02-10,0.0
2000-02-11,-1.2048
2000-02-14,1.2195
2000-02-15,1.2048
2000-02-16,-1.1905000000000001
2000-02-17,0.0
2000-02-18,1.2048
2000-02-22,0.0
2000-02-23,-2.3810000000000002
2000-02-24,1.2195
2000-02-25,-1.2048
2000-02-28,2.439
2000-02-29,0.0
2000-03-01,-1.1905000000000001
2000-03-02,0.0
2000-03-03,1.2048
2000-03-06,3.5714
2000-03-07,-2.2989
2000-03-08,2.3529
2000-03-09,-2.2989
2000-03-10,-2.3529
2000-03-13,1.2048
2000-03-14,4.7619
2000-03-15,2.2727
2000-03-16,2.2222
2000-03-17,0.0
2000-03-20,4.3478
2000-03-21,-2.0833
2000-03-22,4.2553
2000-03-23,0.0
2000-03-24,-3.0612
2000-03-27,-3.1579
2000-03-28,-1.087
2000-03-29,1.0989
2000-03-30,-2.1739
2000-03-31,-1.1111
2000-04-03,2.2472
2000-04-04,0.0
2000-04-05,1.0989
2000-04-06,0.0
2000-04-07,0.0
2000-04-10,2.1739
2000-04-11,0.0
2000-04-12,-2.1277
2000-04-13,-1.087
2000-04-14,-4.3956
2000-04-17,0.0
2000-04-18,-1.1494
2000-04-19,1.1628
2000-04-20,1.1494
2000-04-24,-1.1364
2000-04-25,1.1494
2000-04-26,1.1364
2000-04-27,3.3708
2000-04-28,2.1739
2000-05-01,2.1277
2000-05-02,-1.0417
2000-05-03,-2.1053
2000-05-04,1.0753
2000-05-05,1.0638
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-0.5474
2000-05-11,1.0638
2000-05-12,-2.1053
2000-05-15,-1.0753
2000-05-16,1.087
2000-05-17,0.0
2000-05-18,1.0753
2000-05-19,0.0
2000-05-22,-3.1915
2000-05-23,0.0
