ticker,MZIAQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.4065
2000-01-04,-2.834
2000-01-05,-0.4167
2000-01-06,-0.4184
2000-01-07,3.7815
2000-01-10,-2.4291
2000-01-11,0.4149
2000-01-12,-3.719
2000-01-13,-0.4292
2000-01-14,2.5862
2000-01-18,0.0
2000-01-19,0.8403
2000-01-20,-0.4167
2000-01-21,-2.5105
2000-01-24,-3.4335
2000-01-25,-0.4444
2000-01-26,0.4464
2000-01-27,0.4444
2000-01-28,-7.0796
2000-01-31,-8.0952
2000-02-01,8.2902
2000-02-02,1.4354
2000-02-03,-2.8302
2000-02-04,0.9709
2000-02-07,0.0
2000-02-08,2.4038
2000-02-09,-0.4695
2000-02-10,0.0
2000-02-11,-0.9434
2000-02-14,1.4285999999999999
2000-02-15,-1.8779
2000-02-16,-0.9569
2000-02-17,8.2126
2000-02-18,-0.4464
2000-02-22,-0.4484
2000-02-23,0.4505
2000-02-24,-0.9327
2000-02-25,-2.2831
2000-02-28,1.8692
2000-02-29,1.8349
2000-03-01,-0.9009
2000-03-02,0.0
2000-03-03,1.8182
2000-03-06,-1.3393
2000-03-07,-0.4525
2000-03-08,-2.7273
2000-03-09,3.7382999999999997
2000-03-10,-0.4505
2000-03-13,0.905
2000-03-14,-3.5874
2000-03-15,3.7209
2000-03-16,2.2422
2000-03-17,-2.193
2000-03-20,0.0
2000-03-21,0.0
2000-03-22,0.4484
2000-03-23,-3.125
2000-03-24,2.765
2000-03-27,0.8969
2000-03-28,3.1111
2000-03-29,-1.7241
2000-03-30,1.3158
2000-03-31,0.0
2000-04-03,1.7316
2000-04-04,-1.7021
2000-04-05,0.0
2000-04-06,0.8658
2000-04-07,2.5751
2000-04-10,-2.5105
2000-04-11,4.721
2000-04-12,4.0984
2000-04-13,-0.7874
2000-04-14,-5.1587
2000-04-17,3.7657
2000-04-18,2.0161
2000-04-19,-3.5573
2000-04-20,1.6393
2000-04-24,1.6129
2000-04-25,14.2857
2000-04-26,-3.125
2000-04-27,-0.3584
2000-04-28,5.036
2000-05-01,-2.3973
2000-05-02,-1.7544
2000-05-03,-4.2857
2000-05-04,1.1194
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,-0.738
2000-05-10,0.7138
2000-05-11,-0.3717
2000-05-12,0.0
2000-05-15,0.0
2000-05-16,-0.3731
2000-05-17,1.8727
2000-05-18,-1.8382
2000-05-19,-2.6217
2000-05-22,2.6923
2000-05-23,-4.4944
2000-05-24,0.7843
