ticker,AJRD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.6962
2000-01-04,-6.7114
2000-01-05,-2.1583
2000-01-06,-0.7353
2000-01-07,0.7407
2000-01-10,0.0
2000-01-11,0.0
2000-01-12,-0.7353
2000-01-13,-5.9259
2000-01-14,3.1496
2000-01-18,7.6336
2000-01-19,7.8014
2000-01-20,2.6316
2000-01-21,0.641
2000-01-24,-8.9172
2000-01-25,-3.4965
2000-01-26,-2.8986
2000-01-27,0.7463
2000-01-28,3.7037
2000-01-31,-7.1429
2000-02-01,0.7692
2000-02-02,-1.5267
2000-02-03,-5.4264
2000-02-04,3.2787
2000-02-07,-3.1746
2000-02-08,-2.459
2000-02-09,-1.2772999999999999
2000-02-10,-7.6923
2000-02-11,0.9259
2000-02-14,7.3394
2000-02-15,5.9829
2000-02-16,0.8065
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,-4.0
2000-02-23,-4.1667
2000-02-24,-3.4783
2000-02-25,2.7027
2000-02-28,10.526299999999999
2000-02-29,-1.5873
2000-03-01,-8.871
2000-03-02,7.9646
2000-03-03,0.0
2000-03-06,4.918
2000-03-07,-4.6875
2000-03-08,-4.0984
2000-03-09,-5.1282
2000-03-10,1.8018
2000-03-13,1.7699
2000-03-14,6.087
2000-03-15,4.918
2000-03-16,4.6875
2000-03-17,-2.2388
2000-03-20,0.0
2000-03-21,-2.2901
2000-03-22,0.0
2000-03-23,0.7813
2000-03-24,3.1008
2000-03-27,3.7594
2000-03-28,0.0
2000-03-29,1.4493
2000-03-30,1.4285999999999999
2000-03-31,-12.6761
2000-04-03,8.0645
2000-04-04,0.7463
2000-04-05,1.4815
2000-04-06,0.0
2000-04-07,0.0
2000-04-10,1.4599
2000-04-11,-6.4748
2000-04-12,4.6154
2000-04-13,1.4706000000000001
2000-04-14,-2.1739
2000-04-17,3.7037
2000-04-18,0.0
2000-04-19,0.7143
2000-04-20,1.4184
2000-04-24,2.7972
2000-04-25,6.1224
2000-04-26,0.641
2000-04-27,2.2166
2000-04-28,0.625
2000-05-01,-2.4845
2000-05-02,-1.2739
2000-05-03,-1.2903
2000-05-04,3.9215999999999998
2000-05-05,3.7736
2000-05-08,1.2121
2000-05-09,1.1976
2000-05-10,-3.5503
2000-05-11,1.8405
2000-05-12,-2.4096
2000-05-15,0.0
2000-05-16,0.6173
2000-05-17,-1.8405
2000-05-18,-1.875
2000-05-19,0.6369
2000-05-22,-1.2658
2000-05-23,-1.2821
2000-05-24,0.0
